time, reward, action, observation
1, -200.32589557630584, 1, [-0.32589558  0.          0.          1.        ]
2, -0.6739706835134093, 0, [-0.6739707  -0.32589558  0.          2.        ]
3, -200.21003460439113, 1, [ 0.21003461 -0.6739707  -0.32589558  3.        ]
4, -200.6474437886694, 1, [ 0.6474438   0.21003461 -0.6739707   4.        ]
5, -0.17667248879969244, 0, [0.17667249 0.6474438  0.21003461 5.        ]
6, -200.07047985052662, 1, [0.07047985 0.17667249 0.6474438  6.        ]
7, -0.32620613058602943, 0, [-0.32620612  0.07047985  0.17667249  7.        ]
8, -0.5692391538501381, 0, [-0.56923914 -0.32620612  0.07047985  8.        ]
9, -1.5677594645546193, 0, [-1.5677595  -0.56923914 -0.32620612  9.        ]
10, -201.35579526150016, 1, [-1.3557953  -1.5677595  -0.56923914 10.        ]
11, -1.0685334396878863, 0, [-1.0685334 -1.3557953 -1.5677595 11.       ]
12, -0.050910966522326295, 0, [-0.05091097 -1.0685334  -1.3557953  12.        ]
13, -0.9215095202460728, 0, [ 0.9215095  -0.05091097 -1.0685334  13.        ]
14, -1.954719240509613, 0, [ 1.9547192   0.9215095  -0.05091097 14.        ]
15, -201.06071937478814, 1, [ 1.0607194  1.9547192  0.9215095 15.       ]
16, -1.4718840445729486, 0, [ 1.471884   1.0607194  1.9547192 16.       ]
17, -200.3443461656277, 1, [ 0.34434617  1.471884    1.0607194  17.        ]
18, -200.65974564640726, 1, [ 0.65974563  0.34434617  1.471884   18.        ]
19, -0.7471131940940001, 0, [ 0.74711317  0.65974563  0.34434617 19.        ]
20, -0.3766839732794869, 0, [ 0.37668398  0.74711317  0.65974563 20.        ]
21, -0.24780190883663927, 0, [-0.24780191  0.37668398  0.74711317 21.        ]
22, -200.64407868489067, 1, [-0.6440787  -0.24780191  0.37668398 22.        ]
23, -0.7710055596094259, 0, [-0.7710056  -0.6440787  -0.24780191 23.        ]
24, -0.9275764070234442, 0, [-0.9275764 -0.7710056 -0.6440787 24.       ]
25, -0.3115475034377305, 0, [-0.31154752 -0.9275764  -0.7710056  25.        ]
26, -0.7335263922918349, 0, [-0.7335264  -0.31154752 -0.9275764  26.        ]
27, -1.072649985708044, 0, [-1.07265    -0.7335264  -0.31154752 27.        ]
28, -201.40131365710215, 1, [-1.4013137 -1.07265   -0.7335264 28.       ]
29, -1.276308670488398, 0, [-1.2763087 -1.4013137 -1.07265   29.       ]
30, -202.1111285064446, 1, [-2.1111286 -1.2763087 -1.4013137 30.       ]
31, -2.9508315502592812, 0, [-2.9508317 -2.1111286 -1.2763087 31.       ]
32, -3.5175075216429845, 0, [-3.5175076 -2.9508317 -2.1111286 32.       ]
33, -203.78750876559968, 1, [-3.7875087 -3.5175076 -2.9508317 33.       ]
34, -202.7320997707077, 1, [-2.7320998 -3.7875087 -3.5175076 34.       ]
35, -202.03674165365257, 1, [-2.0367417 -2.7320998 -3.7875087 35.       ]
36, -201.0961773049858, 1, [-1.0961773 -2.0367417 -2.7320998 36.       ]
37, -0.13586660328489164, 0, [ 0.1358666 -1.0961773 -2.0367417 37.       ]
38, -200.17867231110472, 1, [-0.17867231  0.1358666  -1.0961773  38.        ]
39, -0.8292013215611811, 0, [-0.82920134 -0.17867231  0.1358666  39.        ]
40, -1.4512907728123003, 0, [-1.4512907  -0.82920134 -0.17867231 40.        ]
41, -1.5749824708316287, 0, [-1.5749825  -1.4512907  -0.82920134 41.        ]
42, -200.9172923016939, 1, [-0.9172923 -1.5749825 -1.4512907 42.       ]
43, -201.02013754171517, 1, [-1.0201375 -0.9172923 -1.5749825 43.       ]
44, -1.4060123263598623, 0, [-1.4060123 -1.0201375 -0.9172923 44.       ]
45, -2.113623611658879, 0, [-2.1136236 -1.4060123 -1.0201375 45.       ]
46, -2.9718317544767663, 0, [-2.9718318 -2.1136236 -1.4060123 46.       ]
47, -202.7526136653937, 1, [-2.7526138 -2.9718318 -2.1136236 47.       ]
48, -2.643146717972396, 0, [-2.6431468 -2.7526138 -2.9718318 48.       ]
49, -201.17367129726054, 1, [-1.1736712 -2.6431468 -2.7526138 49.       ]
50, -0.2512927905842829, 0, [-0.2512928 -1.1736712 -2.6431468 50.       ]
51, -0.34224783124211766, 0, [ 0.34224784 -0.2512928  -1.1736712  51.        ]
52, -1.0463691932502521, 0, [ 1.0463692   0.34224784 -0.2512928  52.        ]
53, -1.133129250071797, 0, [ 1.1331292   1.0463692   0.34224784 53.        ]
54, -200.78139660459055, 1, [ 0.7813966  1.1331292  1.0463692 54.       ]
55, -200.60675516515957, 1, [ 0.60675514  0.7813966   1.1331292  55.        ]
56, -200.8688046819337, 1, [ 0.8688047   0.60675514  0.7813966  56.        ]
57, -200.1137164261348, 1, [ 0.11371642  0.8688047   0.60675514 57.        ]
58, -0.1953805501391892, 0, [ 0.19538055  0.11371642  0.8688047  58.        ]
59, -200.00095723900682, 1, [9.5723901e-04 1.9538055e-01 1.1371642e-01 5.9000000e+01]
60, -200.05440456153636, 1, [5.4404560e-02 9.5723901e-04 1.9538055e-01 6.0000000e+01]
61, -200.47779555526253, 1, [4.7779554e-01 5.4404560e-02 9.5723901e-04 6.1000000e+01]
