time, reward, action, observation
1, -0.0034133899327615895, 0, [-0.00341339  0.          0.          1.        ]
2, -0.5169275442734804, 0, [ 0.51692754 -0.00341339  0.          2.        ]
3, -200.88826789730697, 1, [ 0.8882679   0.51692754 -0.00341339  3.        ]
4, -1.5473184505587456, 0, [1.5473185  0.8882679  0.51692754 4.        ]
5, -202.21458369865667, 1, [2.2145836 1.5473185 0.8882679 5.       ]
6, -201.3642336752441, 1, [1.3642337 2.2145836 1.5473185 6.       ]
7, -0.37047592097586785, 0, [0.37047592 1.3642337  2.2145836  7.        ]
8, -200.50813307286575, 1, [-0.50813305  0.37047592  1.3642337   8.        ]
9, -1.2648965219130621, 0, [-1.2648965  -0.50813305  0.37047592  9.        ]
10, -200.68421340259604, 1, [-0.6842134  -1.2648965  -0.50813305 10.        ]
11, -0.23064085027759568, 0, [-0.23064084 -0.6842134  -1.2648965  11.        ]
12, -200.12677332736988, 1, [ 0.12677333 -0.23064084 -0.6842134  12.        ]
13, -0.5426796626004629, 0, [-0.54267967  0.12677333 -0.23064084 13.        ]
14, -200.48943131204047, 1, [-0.48943132 -0.54267967  0.12677333 14.        ]
15, -200.85607419165405, 1, [-0.8560742  -0.48943132 -0.54267967 15.        ]
16, -200.1099295118955, 1, [ 0.10992951 -0.8560742  -0.48943132 16.        ]
17, -1.3261570129645273, 0, [ 1.326157    0.10992951 -0.8560742  17.        ]
18, -201.78324303269028, 1, [ 1.7832431   1.326157    0.10992951 18.        ]
19, -2.119984367220371, 0, [ 2.1199844  1.7832431  1.326157  19.       ]
20, -2.6958085719845024, 0, [ 2.6958086  2.1199844  1.7832431 20.       ]
21, -202.6855561542565, 1, [ 2.6855562  2.6958086  2.1199844 21.       ]
22, -2.505152886863805, 0, [ 2.505153   2.6855562  2.6958086 22.       ]
23, -2.1121442552017258, 0, [ 2.1121442  2.505153   2.6855562 23.       ]
24, -1.7403509581686276, 0, [ 1.740351   2.1121442  2.505153  24.       ]
25, -201.09968187266114, 1, [ 1.0996819  1.740351   2.1121442 25.       ]
26, -200.52405601060173, 1, [ 0.524056   1.0996819  1.740351  26.       ]
