time, reward, action, observation
1, -201.0204595606926, 1, [1.0204595 0.        0.        1.       ]
2, -0.5589946935895733, 0, [0.5589947 1.0204595 0.        2.       ]
3, -200.60477058724166, 1, [0.6047706 0.5589947 1.0204595 3.       ]
4, -0.3575064990993433, 0, [0.3575065 0.6047706 0.5589947 4.       ]
5, -0.06662941746972359, 0, [-0.06662942  0.3575065   0.6047706   5.        ]
6, -200.2316290388705, 1, [-0.23162904 -0.06662942  0.3575065   6.        ]
7, -201.23096139664898, 1, [-1.2309614  -0.23162904 -0.06662942  7.        ]
8, -201.30986693925178, 1, [-1.3098669  -1.2309614  -0.23162904  8.        ]
9, -1.8055979114715082, 0, [-1.8055979 -1.3098669 -1.2309614  9.       ]
10, -0.5406829309248451, 0, [-0.5406829 -1.8055979 -1.3098669 10.       ]
11, -200.13889395847545, 1, [-0.13889396 -0.5406829  -1.8055979  11.        ]
12, -200.22870008669827, 1, [-0.22870009 -0.13889396 -0.5406829  12.        ]
13, -0.44118869835219865, 0, [-0.4411887  -0.22870009 -0.13889396 13.        ]
14, -200.73861985753496, 1, [-0.73861986 -0.4411887  -0.22870009 14.        ]
15, -1.5041400604837138, 0, [-1.50414    -0.73861986 -0.4411887  15.        ]
16, -201.58136137189544, 1, [-1.5813614  -1.50414    -0.73861986 16.        ]
17, -201.09972626796466, 1, [-1.0997263 -1.5813614 -1.50414   17.       ]
18, -200.96598525174807, 1, [-0.96598524 -1.0997263  -1.5813614  18.        ]
19, -0.38011308729492055, 0, [-0.3801131  -0.96598524 -1.0997263  19.        ]
20, -0.011316420265688173, 0, [-1.13164205e-02 -3.80113095e-01 -9.65985239e-01  2.00000000e+01]
21, -200.06163145623984, 1, [ 6.16314560e-02 -1.13164205e-02 -3.80113095e-01  2.10000000e+01]
22, -200.83635250908875, 1, [ 8.36352527e-01  6.16314560e-02 -1.13164205e-02  2.20000000e+01]
23, -201.09904423743419, 1, [ 1.0990442   0.8363525   0.06163146 23.        ]
24, -200.71261346817298, 1, [ 0.71261346  1.0990442   0.8363525  24.        ]
25, -200.44534690288464, 1, [ 0.4453469   0.71261346  1.0990442  25.        ]
26, -0.5017962165313792, 0, [ 0.50179625  0.4453469   0.71261346 26.        ]
27, -201.39808472911926, 1, [ 1.3980848   0.50179625  0.4453469  27.        ]
28, -201.18298717080327, 1, [ 1.1829872   1.3980848   0.50179625 28.        ]
29, -0.88912978461095, 0, [ 0.88912976  1.1829872   1.3980848  29.        ]
30, -201.20100863792027, 1, [ 1.2010087   0.88912976  1.1829872  30.        ]
31, -200.61551790080222, 1, [ 0.6155179   1.2010087   0.88912976 31.        ]
32, -0.001265194887856369, 0, [1.2651948e-03 6.1551791e-01 1.2010087e+00 3.2000000e+01]
33, -0.048867486115396486, 0, [-4.8867486e-02  1.2651948e-03  6.1551791e-01  3.3000000e+01]
34, -200.241105090798, 1, [ 2.4110509e-01 -4.8867486e-02  1.2651948e-03  3.4000000e+01]
35, -200.29468224021764, 1, [ 0.29468223  0.2411051  -0.04886749 35.        ]
36, -0.6725961371675869, 0, [ 0.67259616  0.29468223  0.2411051  36.        ]
37, -0.4391538986943333, 0, [-0.4391539   0.67259616  0.29468223 37.        ]
38, -200.0361158718911, 1, [-3.6115874e-02 -4.3915391e-01  6.7259616e-01  3.8000000e+01]
39, -0.19350783035259717, 0, [-1.9350784e-01 -3.6115874e-02 -4.3915391e-01  3.9000000e+01]
40, -1.153731318449774, 0, [-1.1537313e+00 -1.9350784e-01 -3.6115874e-02  4.0000000e+01]
41, -1.7836872291670156, 0, [-1.7836872  -1.1537313  -0.19350784 41.        ]
42, -201.24881777554035, 1, [-1.2488178 -1.7836872 -1.1537313 42.       ]
43, -201.18581154671503, 1, [-1.1858115 -1.2488178 -1.7836872 43.       ]
44, -201.52420362267898, 1, [-1.5242037 -1.1858115 -1.2488178 44.       ]
45, -201.32141135843756, 1, [-1.3214114 -1.5242037 -1.1858115 45.       ]
46, -1.1855512011658549, 0, [-1.1855512 -1.3214114 -1.5242037 46.       ]
47, -200.2713263008068, 1, [-0.2713263 -1.1855512 -1.3214114 47.       ]
48, -0.8337576132201188, 0, [ 0.83375764 -0.2713263  -1.1855512  48.        ]
49, -200.97407764448153, 1, [ 0.97407764  0.83375764 -0.2713263  49.        ]
50, -1.642150272102631, 0, [ 1.6421503   0.97407764  0.83375764 50.        ]
51, -201.3835363240327, 1, [ 1.3835363   1.6421503   0.97407764 51.        ]
52, -0.7136953787525571, 0, [ 0.7136954  1.3835363  1.6421503 52.       ]
53, -0.4698517780410729, 0, [ 0.4698518  0.7136954  1.3835363 53.       ]
54, -200.64692972676852, 1, [ 0.64692974  0.4698518   0.7136954  54.        ]
55, -200.4643389867185, 1, [ 0.464339    0.64692974  0.4698518  55.        ]
56, -200.03057405854645, 1, [-3.0574059e-02  4.6433899e-01  6.4692974e-01  5.6000000e+01]
57, -200.00970865618524, 1, [ 9.708656e-03 -3.057406e-02  4.643390e-01  5.700000e+01]
58, -201.23234663367634, 1, [-1.2323467e+00  9.7086560e-03 -3.0574059e-02  5.8000000e+01]
59, -200.88883763358456, 1, [-8.8883764e-01 -1.2323467e+00  9.7086560e-03  5.9000000e+01]
60, -200.44597804182385, 1, [-0.44597805 -0.88883764 -1.2323467  60.        ]
61, -201.12319259239555, 1, [-1.1231925  -0.44597805 -0.88883764 61.        ]
62, -201.02115935078467, 1, [-1.0211593  -1.1231925  -0.44597805 62.        ]
63, -201.323498367772, 1, [-1.3234984 -1.0211593 -1.1231925 63.       ]
64, -200.78150234926738, 1, [-0.78150237 -1.3234984  -1.0211593  64.        ]
65, -201.58682624714558, 1, [-1.5868262  -0.78150237 -1.3234984  65.        ]
66, -201.91903314026007, 1, [-1.9190332  -1.5868262  -0.78150237 66.        ]
67, -1.8300086608806607, 0, [-1.8300086 -1.9190332 -1.5868262 67.       ]
68, -1.1805885531610447, 0, [-1.1805886 -1.8300086 -1.9190332 68.       ]
