time, reward, action, observation
1, -200.71543651142954, 1, [-0.7154365  0.         0.         1.       ]
2, -1.7560595787330358, 0, [-1.7560595 -0.7154365  0.         2.       ]
3, -201.4446205585041, 1, [-1.4446206 -1.7560595 -0.7154365  3.       ]
4, -201.42569433985784, 1, [-1.4256943 -1.4446206 -1.7560595  4.       ]
5, -1.147745262682048, 0, [-1.1477453 -1.4256943 -1.4446206  5.       ]
6, -0.5217241892367476, 0, [-0.52172416 -1.1477453  -1.4256943   6.        ]
7, -0.742673024630325, 0, [-0.74267304 -0.52172416 -1.1477453   7.        ]
8, -200.15066525990636, 1, [-0.15066525 -0.74267304 -0.52172416  8.        ]
9, -200.329661899733, 1, [-0.3296619  -0.15066525 -0.74267304  9.        ]
10, -200.74148703480333, 1, [ 0.741487   -0.3296619  -0.15066525 10.        ]
11, -1.9627506532041155, 0, [ 1.9627507  0.741487  -0.3296619 11.       ]
12, -2.670266832634201, 0, [ 2.6702669  1.9627507  0.741487  12.       ]
13, -202.4569706232347, 1, [ 2.4569707  2.6702669  1.9627507 13.       ]
14, -2.393822615054017, 0, [ 2.3938227  2.4569707  2.6702669 14.       ]
15, -202.16546637004618, 1, [ 2.1654663  2.3938227  2.4569707 15.       ]
16, -2.6794116206355216, 0, [ 2.6794116  2.1654663  2.3938227 16.       ]
17, -202.5993590095377, 1, [ 2.599359   2.6794116  2.1654663 17.       ]
18, -203.00097192051993, 1, [ 3.000972   2.599359   2.6794116 18.       ]
19, -3.639372306384142, 0, [ 3.6393723  3.000972   2.599359  19.       ]
20, -4.061222073330842, 0, [ 4.061222   3.6393723  3.000972  20.       ]
21, -3.6364979447877075, 0, [ 3.636498   4.061222   3.6393723 21.       ]
22, -202.20643256265663, 1, [ 2.2064326  3.636498   4.061222  22.       ]
23, -201.7269866298736, 1, [ 1.7269866  2.2064326  3.636498  23.       ]
24, -201.7194467117473, 1, [ 1.7194467  1.7269866  2.2064326 24.       ]
25, -2.4350675728827094, 0, [ 2.4350677  1.7194467  1.7269866 25.       ]
26, -201.85330525108668, 1, [ 1.8533052  2.4350677  1.7194467 26.       ]
27, -1.426782369168925, 0, [ 1.4267824  1.8533052  2.4350677 27.       ]
28, -0.6790748886245721, 0, [ 0.6790749  1.4267824  1.8533052 28.       ]
29, -200.2396230256733, 1, [ 0.23962303  0.6790749   1.4267824  29.        ]
30, -201.0087533809773, 1, [-1.0087534   0.23962303  0.6790749  30.        ]
31, -200.67767183781862, 1, [-0.67767185 -1.0087534   0.23962303 31.        ]
32, -200.8775739587001, 1, [-0.87757397 -0.67767185 -1.0087534  32.        ]
33, -1.073843287349866, 0, [-1.0738432  -0.87757397 -0.67767185 33.        ]
34, -200.71056496999546, 1, [-0.710565   -1.0738432  -0.87757397 34.        ]
35, -200.36920580305596, 1, [-0.3692058 -0.710565  -1.0738432 35.       ]
36, -0.7532343954783028, 0, [-0.7532344 -0.3692058 -0.710565  36.       ]
37, -0.3013733950216657, 0, [-0.3013734 -0.7532344 -0.3692058 37.       ]
38, -200.19780113504368, 1, [ 0.19780113 -0.3013734  -0.7532344  38.        ]
39, -0.8472082605916249, 0, [ 0.84720826  0.19780113 -0.3013734  39.        ]
40, -200.4857613344825, 1, [ 0.48576134  0.84720826  0.19780113 40.        ]
41, -200.45192975696617, 1, [-0.45192975  0.48576134  0.84720826 41.        ]
42, -2.0171616229865643, 0, [-2.0171616  -0.45192975  0.48576134 42.        ]
43, -3.3735564282692865, 0, [-3.3735564  -2.0171616  -0.45192975 43.        ]
44, -4.378336566144643, 0, [-4.3783364 -3.3735564 -2.0171616 44.       ]
45, -204.1902478004297, 1, [-4.190248  -4.3783364 -3.3735564 45.       ]
46, -202.57499139106665, 1, [-2.5749915 -4.190248  -4.3783364 46.       ]
47, -1.1322155818714794, 0, [-1.1322156 -2.5749915 -4.190248  47.       ]
48, -200.22095711879402, 1, [-0.22095712 -1.1322156  -2.5749915  48.        ]
49, -200.41348194036703, 1, [ 0.41348195 -0.22095712 -1.1322156  49.        ]
50, -0.3857973603301721, 0, [ 0.38579735  0.41348195 -0.22095712 50.        ]
51, -200.81658005381624, 1, [ 0.81658006  0.38579735  0.41348195 51.        ]
52, -200.97995370496506, 1, [ 0.9799537   0.81658006  0.38579735 52.        ]
53, -0.47633773874679053, 0, [ 0.47633773  0.9799537   0.81658006 53.        ]
54, -200.68126498417905, 1, [ 0.681265    0.47633773  0.9799537  54.        ]
55, -201.14103866381436, 1, [ 1.1410387   0.681265    0.47633773 55.        ]
56, -1.9971550725854714, 0, [ 1.9971551  1.1410387  0.681265  56.       ]
57, -202.3405157319802, 1, [ 2.3405156  1.9971551  1.1410387 57.       ]
