time, reward, action, observation
1, -0.551669224532766, 0, [-0.55166924  0.          0.          1.        ]
2, -1.3555169242811989, 0, [-1.3555169  -0.55166924  0.          2.        ]
3, -2.3894977127389736, 0, [-2.3894978  -1.3555169  -0.55166924  3.        ]
4, -3.0831944153079966, 0, [-3.0831945 -2.3894978 -1.3555169  4.       ]
5, -3.762442142082661, 0, [-3.762442  -3.0831945 -2.3894978  5.       ]
6, -4.242598797746467, 0, [-4.242599  -3.762442  -3.0831945  6.       ]
7, -203.21908676961107, 1, [-3.219087 -4.242599 -3.762442  7.      ]
8, -1.9713088723648724, 0, [-1.9713088 -3.219087  -4.242599   8.       ]
9, -0.7354947335936198, 0, [-0.73549473 -1.9713088  -3.219087    9.        ]
10, -0.02777227838217397, 0, [ 0.02777228 -0.73549473 -1.9713088  10.        ]
11, -0.2609197470509334, 0, [ 0.26091975  0.02777228 -0.73549473 11.        ]
12, -0.0400306683163954, 0, [ 0.04003067  0.26091975  0.02777228 12.        ]
13, -200.17364392010887, 1, [-0.17364392  0.04003067  0.26091975 13.        ]
14, -0.3702736377425749, 0, [-0.37027365 -0.17364392  0.04003067 14.        ]
15, -1.0137142505367058, 0, [-1.0137142  -0.37027365 -0.17364392 15.        ]
16, -2.095710507250522, 0, [-2.0957105  -1.0137142  -0.37027365 16.        ]
17, -2.808454902919438, 0, [-2.808455  -2.0957105 -1.0137142 17.       ]
18, -4.304492934483951, 0, [-4.304493  -2.808455  -2.0957105 18.       ]
19, -5.589850113822149, 0, [-5.58985  -4.304493 -2.808455 19.      ]
20, -6.405223023654106, 0, [-6.405223 -5.58985  -4.304493 20.      ]
21, -206.0035248086433, 1, [-6.003525 -6.405223 -5.58985  21.      ]
22, -6.238643301952716, 0, [-6.238643 -6.003525 -6.405223 22.      ]
23, -205.6583923487882, 1, [-5.6583924 -6.238643  -6.003525  23.       ]
24, -4.870179291838376, 0, [-4.870179  -5.6583924 -6.238643  24.       ]
25, -204.02975219423803, 1, [-4.0297523 -4.870179  -5.6583924 25.       ]
26, -4.292209132578586, 0, [-4.292209  -4.0297523 -4.870179  26.       ]
27, -203.8591233364063, 1, [-3.8591232 -4.292209  -4.0297523 27.       ]
28, -3.0057062995694626, 0, [-3.0057063 -3.8591232 -4.292209  28.       ]
29, -1.8311149978526564, 0, [-1.831115  -3.0057063 -3.8591232 29.       ]
30, -0.5764209811142751, 0, [-0.57642096 -1.831115   -3.0057063  30.        ]
31, -200.4024719840168, 1, [-0.402472   -0.57642096 -1.831115   31.        ]
32, -1.185782724315242, 0, [-1.1857827  -0.402472   -0.57642096 32.        ]
33, -1.7276424520100955, 0, [-1.7276424 -1.1857827 -0.402472  33.       ]
34, -201.6259060982443, 1, [-1.6259061 -1.7276424 -1.1857827 34.       ]
35, -1.506117082987573, 0, [-1.5061171 -1.6259061 -1.7276424 35.       ]
36, -0.6391338152843964, 0, [-0.6391338 -1.5061171 -1.6259061 36.       ]
37, -0.1462945682027858, 0, [ 0.14629456 -0.6391338  -1.5061171  37.        ]
38, -200.38672288425408, 1, [ 0.3867229   0.14629456 -0.6391338  38.        ]
39, -0.8816142806657108, 0, [ 0.88161427  0.3867229   0.14629456 39.        ]
40, -1.1492429443582148, 0, [ 1.149243    0.88161427  0.3867229  40.        ]
41, -1.0311677071181804, 0, [ 1.0311677   1.149243    0.88161427 41.        ]
42, -200.47860231284307, 1, [ 0.47860232  1.0311677   1.149243   42.        ]
43, -0.42003323984903274, 0, [ 0.42003325  0.47860232  1.0311677  43.        ]
44, -0.6254543284801022, 0, [ 0.6254543   0.42003325  0.47860232 44.        ]
45, -0.5450179634681146, 0, [ 0.54501796  0.6254543   0.42003325 45.        ]
46, -1.057016530630936, 0, [ 1.0570165   0.54501796  0.6254543  46.        ]
47, -1.5587811247330774, 0, [ 1.5587811   1.0570165   0.54501796 47.        ]
48, -1.2900836070899016, 0, [ 1.2900836  1.5587811  1.0570165 48.       ]
49, -1.3780650756997943, 0, [ 1.3780651  1.2900836  1.5587811 49.       ]
50, -1.3787074113868343, 0, [ 1.3787074  1.3780651  1.2900836 50.       ]
51, -0.7148203676339246, 0, [ 0.7148204  1.3787074  1.3780651 51.       ]
52, -0.4414531555478446, 0, [ 0.44145316  0.7148204   1.3787074  52.        ]
53, -0.05035112703164907, 0, [5.0351128e-02 4.4145316e-01 7.1482038e-01 5.3000000e+01]
54, -0.45870179715018866, 0, [-4.5870179e-01  5.0351128e-02  4.4145316e-01  5.4000000e+01]
55, -0.5709961782137682, 0, [-5.7099617e-01 -4.5870179e-01  5.0351128e-02  5.5000000e+01]
56, -1.7570800455941529, 0, [-1.7570801  -0.57099617 -0.4587018  56.        ]
57, -3.3445972511394237, 0, [-3.3445973  -1.7570801  -0.57099617 57.        ]
58, -4.826871102142133, 0, [-4.826871  -3.3445973 -1.7570801 58.       ]
59, -5.888108395230066, 0, [-5.8881083 -4.826871  -3.3445973 59.       ]
60, -7.069651871501043, 0, [-7.069652  -5.8881083 -4.826871  60.       ]
61, -8.513245272479592, 0, [-8.513246  -7.069652  -5.8881083 61.       ]
62, -10.19433153652611, 0, [-10.194331  -8.513246  -7.069652  62.      ]
63, -11.597847124701294, 0, [-11.597847 -10.194331  -8.513246  63.      ]
64, -12.38314963001393, 0, [-12.38315  -11.597847 -10.194331  64.      ]
65, -13.736392690741535, 0, [-13.736393 -12.38315  -11.597847  65.      ]
66, -15.859176643948228, 0, [-15.859177 -13.736393 -12.38315   66.      ]
67, -213.81004190198547, 1, [-13.810041 -15.859177 -13.736393  67.      ]
68, -12.361743174155011, 0, [-12.361743 -13.810041 -15.859177  68.      ]
69, -11.657594420639967, 0, [-11.657595 -12.361743 -13.810041  69.      ]
70, -10.788404034938313, 0, [-10.788404 -11.657595 -12.361743  70.      ]
71, -9.69073593300814, 0, [ -9.690736 -10.788404 -11.657595  71.      ]
72, -9.09468523554892, 0, [ -9.094686  -9.690736 -10.788404  72.      ]
73, -207.71639319015637, 1, [-7.716393 -9.094686 -9.690736 73.      ]
74, -6.328744953856057, 0, [-6.328745 -7.716393 -9.094686 74.      ]
75, -5.43323267508535, 0, [-5.433233 -6.328745 -7.716393 75.      ]
76, -5.418395043518491, 0, [-5.418395 -5.433233 -6.328745 76.      ]
77, -5.440309060670541, 0, [-5.440309 -5.418395 -5.433233 77.      ]
78, -5.9099565274948525, 0, [-5.9099565 -5.440309  -5.418395  78.       ]
79, -6.123034475362962, 0, [-6.1230345 -5.9099565 -5.440309  79.       ]
80, -6.546083786886624, 0, [-6.546084  -6.1230345 -5.9099565 80.       ]
81, -6.979099354762691, 0, [-6.9790993 -6.546084  -6.1230345 81.       ]
