time, reward, action, observation
1, -200.86913319924844, 1, [-0.8691332  0.         0.         1.       ]
2, -201.537454595839, 1, [-1.5374546 -0.8691332  0.         2.       ]
3, -202.07894663824175, 1, [-2.0789466 -1.5374546 -0.8691332  3.       ]
4, -2.6879488378031495, 0, [-2.687949  -2.0789466 -1.5374546  4.       ]
5, -203.51160816553283, 1, [-3.5116081 -2.687949  -2.0789466  5.       ]
6, -203.17598494952662, 1, [-3.1759849 -3.5116081 -2.687949   6.       ]
7, -203.09274225708955, 1, [-3.0927422 -3.1759849 -3.5116081  7.       ]
8, -2.5793480106748907, 0, [-2.579348  -3.0927422 -3.1759849  8.       ]
9, -201.60608563075095, 1, [-1.6060857 -2.579348  -3.0927422  9.       ]
10, -0.13134661224224897, 0, [-0.13134661 -1.6060857  -2.579348   10.        ]
11, -200.50936214522525, 1, [ 0.50936216 -0.13134661 -1.6060857  11.        ]
12, -200.50386271380538, 1, [ 0.50386274  0.50936216 -0.13134661 12.        ]
13, -200.8522617650413, 1, [ 0.8522618   0.50386274  0.50936216 13.        ]
14, -201.52438430902436, 1, [ 1.5243843   0.8522618   0.50386274 14.        ]
15, -201.0612251599092, 1, [ 1.0612252  1.5243843  0.8522618 15.       ]
16, -0.9958734135322136, 0, [ 0.9958734  1.0612252  1.5243843 16.       ]
17, -200.80474047409132, 1, [ 0.8047405  0.9958734  1.0612252 17.       ]
18, -201.3654090906338, 1, [ 1.3654091  0.8047405  0.9958734 18.       ]
19, -200.81820310473074, 1, [ 0.8182031  1.3654091  0.8047405 19.       ]
20, -200.44896434544657, 1, [ 0.44896436  0.8182031   1.3654091  20.        ]
21, -200.4992211452744, 1, [ 0.49922115  0.44896436  0.8182031  21.        ]
22, -200.55644198351342, 1, [ 0.55644196  0.49922115  0.44896436 22.        ]
23, -200.3431573809543, 1, [-0.34315738  0.55644196  0.49922115 23.        ]
24, -0.8827592564097868, 0, [-0.8827593  -0.34315738  0.55644196 24.        ]
25, -200.88710292521557, 1, [-0.8871029  -0.8827593  -0.34315738 25.        ]
26, -200.8657353687908, 1, [-0.86573535 -0.8871029  -0.8827593  26.        ]
27, -200.80144973175746, 1, [-0.8014497  -0.86573535 -0.8871029  27.        ]
28, -0.6405353695916663, 0, [-0.64053535 -0.8014497  -0.86573535 28.        ]
29, -1.420001710586357, 0, [-1.4200017  -0.64053535 -0.8014497  29.        ]
30, -200.54128276745325, 1, [-0.5412828  -1.4200017  -0.64053535 30.        ]
31, -200.74480333040373, 1, [-0.7448033 -0.5412828 -1.4200017 31.       ]
32, -201.77888201670484, 1, [-1.778882  -0.7448033 -0.5412828 32.       ]
33, -201.70070073075766, 1, [-1.7007008 -1.778882  -0.7448033 33.       ]
34, -200.6873393993227, 1, [-0.6873394 -1.7007008 -1.778882  34.       ]
35, -200.6745277679531, 1, [-0.67452776 -0.6873394  -1.7007008  35.        ]
36, -200.21108434639137, 1, [ 0.21108435 -0.67452776 -0.6873394  36.        ]
37, -201.09747978977816, 1, [ 1.0974798   0.21108435 -0.67452776 37.        ]
38, -200.63234033579985, 1, [ 0.6323403   1.0974798   0.21108435 38.        ]
39, -200.77581683820333, 1, [-0.77581686  0.6323403   1.0974798  39.        ]
40, -201.49458267033523, 1, [-1.4945827  -0.77581686  0.6323403  40.        ]
41, -200.77673586494555, 1, [-0.77673584 -1.4945827  -0.77581686 41.        ]
42, -200.94598872450237, 1, [-0.9459887  -0.77673584 -1.4945827  42.        ]
43, -201.57704973123634, 1, [-1.5770497  -0.9459887  -0.77673584 43.        ]
44, -202.09453887234292, 1, [-2.094539  -1.5770497 -0.9459887 44.       ]
45, -201.84212084323497, 1, [-1.8421209 -2.094539  -1.5770497 45.       ]
46, -201.5200488655247, 1, [-1.5200489 -1.8421209 -2.094539  46.       ]
47, -200.78928707315225, 1, [-0.7892871 -1.5200489 -1.8421209 47.       ]
48, -200.05155426943486, 1, [-0.05155427 -0.7892871  -1.5200489  48.        ]
49, -200.39139284897837, 1, [-0.39139286 -0.05155427 -0.7892871  49.        ]
50, -200.46152351522713, 1, [-0.4615235  -0.39139286 -0.05155427 50.        ]
51, -200.96586798267307, 1, [-0.965868   -0.4615235  -0.39139286 51.        ]
52, -200.85607888420589, 1, [-0.85607886 -0.965868   -0.4615235  52.        ]
53, -201.27684391796723, 1, [-1.2768439  -0.85607886 -0.965868   53.        ]
54, -201.7399970742206, 1, [-1.739997   -1.2768439  -0.85607886 54.        ]
55, -1.0488086322470194, 0, [-1.0488086 -1.739997  -1.2768439 55.       ]
56, -200.75421465615895, 1, [-0.75421464 -1.0488086  -1.739997   56.        ]
57, -200.26481596881428, 1, [-0.26481596 -0.75421464 -1.0488086  57.        ]
58, -201.12490756549758, 1, [ 1.1249076  -0.26481596 -0.75421464 58.        ]
59, -201.56019753235316, 1, [ 1.5601976   1.1249076  -0.26481596 59.        ]
60, -201.32314102090754, 1, [ 1.323141   1.5601976  1.1249076 60.       ]
61, -201.10080439150323, 1, [ 1.1008044  1.323141   1.5601976 61.       ]
62, -200.51685584459304, 1, [ 0.51685584  1.1008044   1.323141   62.        ]
63, -200.88789636242092, 1, [ 0.88789636  0.51685584  1.1008044  63.        ]
64, -200.64006008455868, 1, [ 0.64006007  0.88789636  0.51685584 64.        ]
65, -201.37936942937108, 1, [ 1.3793694   0.64006007  0.88789636 65.        ]
66, -201.1045805451204, 1, [ 1.1045805   1.3793694   0.64006007 66.        ]
67, -200.70706997045912, 1, [ 0.70707    1.1045805  1.3793694 67.       ]
68, -200.32064838311592, 1, [ 0.32064837  0.70707     1.1045805  68.        ]
69, -200.5203641277096, 1, [ 0.5203641   0.32064837  0.70707    69.        ]
70, -200.56252842112542, 1, [ 0.56252843  0.5203641   0.32064837 70.        ]
71, -1.2819760595470044, 0, [ 1.2819761   0.56252843  0.5203641  71.        ]
72, -200.91529670085387, 1, [ 0.9152967   1.2819761   0.56252843 72.        ]
73, -200.8552996035979, 1, [ 0.8552996  0.9152967  1.2819761 73.       ]
74, -201.67783299874216, 1, [ 1.677833   0.8552996  0.9152967 74.       ]
75, -2.2156688713805193, 0, [ 2.215669   1.677833   0.8552996 75.       ]
76, -202.21352198859984, 1, [ 2.213522  2.215669  1.677833 76.      ]
77, -202.6449560892615, 1, [ 2.644956  2.213522  2.215669 77.      ]
78, -202.5675154610407, 1, [ 2.5675154  2.644956   2.213522  78.       ]
79, -201.82706990270583, 1, [ 1.8270699  2.5675154  2.644956  79.       ]
80, -0.20353844695505097, 0, [ 0.20353845  1.8270699   2.5675154  80.        ]
81, -201.1077890847721, 1, [ 1.107789    0.20353845  1.8270699  81.        ]
82, -201.29038007432445, 1, [ 1.2903801   1.107789    0.20353845 82.        ]
83, -201.74339826456443, 1, [ 1.7433983  1.2903801  1.107789  83.       ]
84, -1.8676560421872734, 0, [ 1.867656   1.7433983  1.2903801 84.       ]
85, -202.49795318143185, 1, [ 2.4979532  1.867656   1.7433983 85.       ]
86, -3.2619605729240666, 0, [ 3.2619605  2.4979532  1.867656  86.       ]
87, -3.898065207775026, 0, [ 3.898065   3.2619605  2.4979532 87.       ]
88, -3.956040320044174, 0, [ 3.9560404  3.898065   3.2619605 88.       ]
89, -203.51644224709096, 1, [ 3.5164423  3.9560404  3.898065  89.       ]
90, -202.6402107796684, 1, [ 2.6402109  3.5164423  3.9560404 90.       ]
91, -201.96619543044844, 1, [ 1.9661955  2.6402109  3.5164423 91.       ]
92, -0.615727742376338, 0, [ 0.6157277  1.9661955  2.6402109 92.       ]
93, -200.05585950838585, 1, [5.5859510e-02 6.1572772e-01 1.9661955e+00 9.3000000e+01]
94, -200.03728258702463, 1, [3.7282586e-02 5.5859510e-02 6.1572772e-01 9.4000000e+01]
95, -0.6029820300659036, 0, [-6.0298204e-01  3.7282586e-02  5.5859510e-02  9.5000000e+01]
96, -200.5719989892065, 1, [-5.7199901e-01 -6.0298204e-01  3.7282586e-02  9.6000000e+01]
97, -200.14387492491701, 1, [-0.14387493 -0.571999   -0.60298204 97.        ]
98, -200.20573505699255, 1, [-0.20573506 -0.14387493 -0.571999   98.        ]
99, -0.5656152426327639, 0, [-0.56561524 -0.20573506 -0.14387493 99.        ]
100, -200.84275972731876, 1, [ -0.8427597   -0.56561524  -0.20573506 100.        ]
101, -200.2816901355071, 1, [ -0.28169012  -0.8427597   -0.56561524 101.        ]
102, -0.6000869847072313, 0, [ -0.600087    -0.28169012  -0.8427597  102.        ]
103, -1.005030160722621, 0, [ -1.0050302   -0.600087    -0.28169012 103.        ]
104, -1.5386872552774509, 0, [ -1.5386872  -1.0050302  -0.600087  104.       ]
105, -201.30588390833216, 1, [ -1.3058839  -1.5386872  -1.0050302 105.       ]
106, -201.094478990978, 1, [ -1.094479   -1.3058839  -1.5386872 106.       ]
107, -201.4392906439569, 1, [ -1.4392906  -1.094479   -1.3058839 107.       ]
108, -200.24412926181517, 1, [ -0.24412926  -1.4392906   -1.094479   108.        ]
109, -200.07496312601188, 1, [ 7.4963123e-02 -2.4412926e-01 -1.4392906e+00  1.0900000e+02]
110, -200.55699535558506, 1, [-5.5699533e-01  7.4963123e-02 -2.4412926e-01  1.1000000e+02]
111, -201.01470618066529, 1, [-1.0147061e+00 -5.5699533e-01  7.4963123e-02  1.1100000e+02]
112, -200.87679448601943, 1, [ -0.87679446  -1.0147061   -0.55699533 112.        ]
113, -200.40795652792926, 1, [ -0.40795654  -0.87679446  -1.0147061  113.        ]
114, -200.9387469424571, 1, [ -0.9387469   -0.40795654  -0.87679446 114.        ]
115, -200.51780546093792, 1, [ -0.51780546  -0.9387469   -0.40795654 115.        ]
116, -201.05425199159998, 1, [ -1.054252    -0.51780546  -0.9387469  116.        ]
117, -201.3685975372017, 1, [ -1.3685975   -1.054252    -0.51780546 117.        ]
118, -1.1935233423990148, 0, [ -1.1935233  -1.3685975  -1.054252  118.       ]
119, -200.1240491217994, 1, [ -0.12404912  -1.1935233   -1.3685975  119.        ]
120, -200.02456067717355, 1, [ 2.4560677e-02 -1.2404912e-01 -1.1935233e+00  1.2000000e+02]
1, -200.15476930870287, 1, [-0.1547693  0.         0.         1.       ]
2, -200.4791802656169, 1, [ 0.47918028 -0.1547693   0.          2.        ]
3, -200.03204608845564, 1, [-0.03204609  0.47918028 -0.1547693   3.        ]
4, -0.302066256354682, 0, [-0.30206627 -0.03204609  0.47918028  4.        ]
5, -200.18031609612325, 1, [-0.18031609 -0.30206627 -0.03204609  5.        ]
6, -200.37267538499887, 1, [ 0.3726754  -0.18031609 -0.30206627  6.        ]
