time, reward, action, observation
1, -0.18501238466200184, 0, [-0.18501239  0.          0.          1.        ]
2, -0.1640170536245032, 0, [ 0.16401705 -0.18501239  0.          2.        ]
3, -0.6511693445768674, 0, [ 0.65116936  0.16401705 -0.18501239  3.        ]
4, -0.7318093229805556, 0, [0.7318093  0.65116936 0.16401705 4.        ]
5, -1.1323917064883378, 0, [1.1323917  0.7318093  0.65116936 5.        ]
6, -0.727832860351939, 0, [0.72783285 1.1323917  0.7318093  6.        ]
7, -200.8433925051985, 1, [0.8433925  0.72783285 1.1323917  7.        ]
8, -0.6549253593036706, 0, [0.65492535 0.8433925  0.72783285 8.        ]
9, -200.8357091069472, 1, [0.8357091  0.65492535 0.8433925  9.        ]
10, -1.1998814310003183, 0, [ 1.1998814   0.8357091   0.65492535 10.        ]
11, -1.1075948872869406, 0, [ 1.1075948  1.1998814  0.8357091 11.       ]
12, -1.2979500267197053, 0, [ 1.29795    1.1075948  1.1998814 12.       ]
13, -1.6211979750230054, 0, [ 1.6211979  1.29795    1.1075948 13.       ]
14, -1.556724788466886, 0, [ 1.5567248  1.6211979  1.29795   14.       ]
15, -2.5057215168285736, 0, [ 2.5057216  1.5567248  1.6211979 15.       ]
16, -3.6658988674111384, 0, [ 3.6658988  2.5057216  1.5567248 16.       ]
17, -202.67395079583136, 1, [ 2.673951   3.6658988  2.5057216 17.       ]
18, -201.59341601905635, 1, [ 1.593416   2.673951   3.6658988 18.       ]
19, -0.8874040403499701, 0, [ 0.887404  1.593416  2.673951 19.      ]
20, -200.78847960334292, 1, [ 0.7884796  0.887404   1.593416  20.       ]
21, -0.3459120295665905, 0, [ 0.34591204  0.7884796   0.887404   21.        ]
22, -200.82769421319276, 1, [ 0.82769424  0.34591204  0.7884796  22.        ]
23, -1.2616285181412097, 0, [ 1.2616285   0.82769424  0.34591204 23.        ]
24, -1.177434291885502, 0, [ 1.1774343   1.2616285   0.82769424 24.        ]
25, -0.9227800558166184, 0, [ 0.92278004  1.1774343   1.2616285  25.        ]
26, -0.6296599697776415, 0, [ 0.62965995  0.92278004  1.1774343  26.        ]
27, -0.3814913957751842, 0, [-0.3814914   0.62965995  0.92278004 27.        ]
28, -1.606518561807741, 0, [-1.6065185  -0.3814914   0.62965995 28.        ]
29, -202.45043593874806, 1, [-2.4504359 -1.6065185 -0.3814914 29.       ]
30, -3.2723479268739823, 0, [-3.272348  -2.4504359 -1.6065185 30.       ]
31, -202.5739584088237, 1, [-2.5739584 -3.272348  -2.4504359 31.       ]
32, -2.6581721328825507, 0, [-2.6581721 -2.5739584 -3.272348  32.       ]
33, -202.0852956574829, 1, [-2.0852957 -2.6581721 -2.5739584 33.       ]
34, -2.2183279641674276, 0, [-2.218328  -2.0852957 -2.6581721 34.       ]
35, -201.96649350987119, 1, [-1.9664935 -2.218328  -2.0852957 35.       ]
36, -2.0231089569749368, 0, [-2.023109  -1.9664935 -2.218328  36.       ]
37, -202.31456159372527, 1, [-2.3145616 -2.023109  -1.9664935 37.       ]
38, -202.26541341000123, 1, [-2.2654135 -2.3145616 -2.023109  38.       ]
39, -2.8388294883655694, 0, [-2.8388295 -2.2654135 -2.3145616 39.       ]
40, -202.32960798180386, 1, [-2.329608  -2.8388295 -2.2654135 40.       ]
41, -201.85230750099666, 1, [-1.8523076 -2.329608  -2.8388295 41.       ]
42, -200.8795885162739, 1, [-0.87958854 -1.8523076  -2.329608   42.        ]
43, -0.8330399732686427, 0, [-0.83304    -0.87958854 -1.8523076  43.        ]
44, -200.1459178385298, 1, [-0.14591783 -0.83304    -0.87958854 44.        ]
45, -200.05201011315643, 1, [-0.05201011 -0.14591783 -0.83304    45.        ]
46, -200.17401760469457, 1, [ 0.17401761 -0.05201011 -0.14591783 46.        ]
47, -0.2606063844195886, 0, [ 0.26060638  0.17401761 -0.05201011 47.        ]
48, -201.00624747954794, 1, [ 1.0062475   0.26060638  0.17401761 48.        ]
49, -201.6575593551644, 1, [ 1.6575594   1.0062475   0.26060638 49.        ]
50, -2.7128623326475205, 0, [ 2.7128623  1.6575594  1.0062475 50.       ]
51, -3.6868330968898007, 0, [ 3.6868331  2.7128623  1.6575594 51.       ]
52, -3.2971020853996955, 0, [ 3.297102   3.6868331  2.7128623 52.       ]
53, -3.2634813460728522, 0, [ 3.2634814  3.297102   3.6868331 53.       ]
54, -3.2202051649965955, 0, [ 3.220205   3.2634814  3.297102  54.       ]
55, -3.118599425580106, 0, [ 3.1185994  3.220205   3.2634814 55.       ]
56, -3.254594668175695, 0, [ 3.2545946  3.1185994  3.220205  56.       ]
57, -3.9601206520772885, 0, [ 3.9601207  3.2545946  3.1185994 57.       ]
58, -4.6581765784482965, 0, [ 4.6581764  3.9601207  3.2545946 58.       ]
59, -203.79134433986152, 1, [ 3.7913444  4.6581764  3.9601207 59.       ]
60, -2.7090081422839, 0, [ 2.7090082  3.7913444  4.6581764 60.       ]
61, -202.28742849108173, 1, [ 2.2874284  2.7090082  3.7913444 61.       ]
62, -2.499449568607039, 0, [ 2.4994495  2.2874284  2.7090082 62.       ]
63, -202.40744961904483, 1, [ 2.4074497  2.4994495  2.2874284 63.       ]
64, -2.5627688628591923, 0, [ 2.562769   2.4074497  2.4994495 64.       ]
65, -2.4615269223690808, 0, [ 2.4615269  2.562769   2.4074497 65.       ]
66, -1.7625838089388233, 0, [ 1.7625839  2.4615269  2.562769  66.       ]
67, -201.84176294552017, 1, [ 1.8417629  1.7625839  2.4615269 67.       ]
68, -201.86293165587557, 1, [ 1.8629316  1.8417629  1.7625839 68.       ]
