time, reward, action, observation
1, -200.21617000277055, 1, [-0.21617  0.       0.       1.     ]
2, -200.78121838871576, 1, [-0.7812184 -0.21617    0.         2.       ]
3, -0.896335268507942, 0, [-0.89633524 -0.7812184  -0.21617     3.        ]
4, -1.5423360714791152, 0, [-1.5423361  -0.89633524 -0.7812184   4.        ]
5, -200.39196463697226, 1, [-0.39196464 -1.5423361  -0.89633524  5.        ]
6, -200.31686515281496, 1, [ 0.31686515 -0.39196464 -1.5423361   6.        ]
7, -0.7042975156029527, 0, [ 0.70429754  0.31686515 -0.39196464  7.        ]
8, -1.299501271470939, 0, [1.2995013  0.70429754 0.31686515 8.        ]
9, -2.5814588211116356, 0, [2.5814588  1.2995013  0.70429754 9.        ]
10, -5.024009564115625, 0, [ 5.0240097  2.5814588  1.2995013 10.       ]
11, -204.14934382008613, 1, [ 4.149344   5.0240097  2.5814588 11.       ]
12, -203.87803915539573, 1, [ 3.8780391  4.149344   5.0240097 12.       ]
13, -203.47301445878105, 1, [ 3.4730144  3.8780391  4.149344  13.       ]
14, -202.71275267638342, 1, [ 2.7127526  3.4730144  3.8780391 14.       ]
15, -202.7031694545195, 1, [ 2.7031693  2.7127526  3.4730144 15.       ]
16, -202.52251617635463, 1, [ 2.5225163  2.7031693  2.7127526 16.       ]
17, -202.62812948152433, 1, [ 2.6281295  2.5225163  2.7031693 17.       ]
18, -201.96157736614364, 1, [ 1.9615774  2.6281295  2.5225163 18.       ]
19, -1.4270899355204762, 0, [ 1.4270899  1.9615774  2.6281295 19.       ]
20, -1.1969805644761906, 0, [ 1.1969806  1.4270899  1.9615774 20.       ]
21, -200.97844735298764, 1, [ 0.9784474  1.1969806  1.4270899 21.       ]
22, -200.79521668194565, 1, [ 0.7952167  0.9784474  1.1969806 22.       ]
23, -0.26442389608708833, 0, [ 0.2644239  0.7952167  0.9784474 23.       ]
24, -200.20037892128784, 1, [ 0.20037892  0.2644239   0.7952167  24.        ]
25, -0.24296614051710574, 0, [ 0.24296615  0.20037892  0.2644239  25.        ]
26, -200.1802505243078, 1, [ 0.18025053  0.24296615  0.20037892 26.        ]
27, -0.12270406054470155, 0, [ 0.12270406  0.18025053  0.24296615 27.        ]
28, -0.4248971421700536, 0, [ 0.42489713  0.12270406  0.18025053 28.        ]
29, -200.07596294797176, 1, [ 0.07596295  0.42489713  0.12270406 29.        ]
30, -200.35624080163817, 1, [ 0.3562408   0.07596295  0.42489713 30.        ]
31, -0.5037214437760145, 0, [ 0.5037214   0.3562408   0.07596295 31.        ]
32, -200.47480595977112, 1, [ 0.47480595  0.5037214   0.3562408  32.        ]
33, -200.2987647647121, 1, [ 0.29876477  0.47480595  0.5037214  33.        ]
34, -0.6075228529255461, 0, [ 0.60752285  0.29876477  0.47480595 34.        ]
35, -200.94000544955279, 1, [ 0.9400054   0.60752285  0.29876477 35.        ]
36, -200.84586969300938, 1, [ 0.8458697   0.9400054   0.60752285 36.        ]
37, -200.47620831371896, 1, [ 0.4762083  0.8458697  0.9400054 37.       ]
38, -201.2690690410222, 1, [ 1.2690691  0.4762083  0.8458697 38.       ]
39, -201.4623847972333, 1, [ 1.4623848  1.2690691  0.4762083 39.       ]
40, -200.6861288542307, 1, [ 0.68612885  1.4623848   1.2690691  40.        ]
41, -200.44995666218605, 1, [ 0.44995666  0.68612885  1.4623848  41.        ]
42, -0.2048508955779621, 0, [ 0.2048509   0.44995666  0.68612885 42.        ]
43, -0.36971375673553725, 0, [ 0.36971375  0.2048509   0.44995666 43.        ]
44, -0.3883061664551644, 0, [ 0.38830617  0.36971375  0.2048509  44.        ]
45, -0.03351647985053918, 0, [3.3516482e-02 3.8830617e-01 3.6971375e-01 4.5000000e+01]
46, -200.64048435503352, 1, [6.4048433e-01 3.3516482e-02 3.8830617e-01 4.6000000e+01]
47, -0.12978726543516894, 0, [1.2978727e-01 6.4048433e-01 3.3516482e-02 4.7000000e+01]
48, -200.67975876813702, 1, [-0.6797588   0.12978727  0.64048433 48.        ]
49, -200.96191251909804, 1, [-0.9619125  -0.6797588   0.12978727 49.        ]
50, -201.11031964095815, 1, [-1.1103196 -0.9619125 -0.6797588 50.       ]
51, -201.0200592624387, 1, [-1.0200592 -1.1103196 -0.9619125 51.       ]
52, -200.84815364288198, 1, [-0.84815365 -1.0200592  -1.1103196  52.        ]
53, -0.21172872329479636, 0, [-0.21172872 -0.84815365 -1.0200592  53.        ]
54, -0.46250807627250845, 0, [-0.46250808 -0.21172872 -0.84815365 54.        ]
55, -0.82867052018057, 0, [ 0.8286705  -0.46250808 -0.21172872 55.        ]
56, -2.1673050356028014, 0, [ 2.167305    0.8286705  -0.46250808 56.        ]
57, -2.8516728840131202, 0, [ 2.851673   2.167305   0.8286705 57.       ]
58, -202.21917871771836, 1, [ 2.2191787  2.851673   2.167305  58.       ]
59, -1.4717332383682102, 0, [ 1.4717332  2.2191787  2.851673  59.       ]
60, -200.00091258004525, 1, [9.1258006e-04 1.4717332e+00 2.2191787e+00 6.0000000e+01]
61, -200.0341798534339, 1, [-3.4179855e-02  9.1258006e-04  1.4717332e+00  6.1000000e+01]
62, -200.58992136162502, 1, [-5.8992136e-01 -3.4179855e-02  9.1258006e-04  6.2000000e+01]
63, -200.8555498841831, 1, [-8.5554987e-01 -5.8992136e-01 -3.4179855e-02  6.3000000e+01]
64, -1.6160350825041285, 0, [-1.6160351  -0.8555499  -0.58992136 64.        ]
65, -201.77813749973703, 1, [-1.7781374 -1.6160351 -0.8555499 65.       ]
66, -201.5076715138247, 1, [-1.5076715 -1.7781374 -1.6160351 66.       ]
67, -1.9342145254881404, 0, [-1.9342145 -1.5076715 -1.7781374 67.       ]
68, -200.93455983960368, 1, [-0.9345598 -1.9342145 -1.5076715 68.       ]
69, -201.26282406687685, 1, [-1.262824  -0.9345598 -1.9342145 69.       ]
70, -201.36239753853113, 1, [-1.3623976 -1.262824  -0.9345598 70.       ]
71, -1.4548667179078423, 0, [-1.4548668 -1.3623976 -1.262824  71.       ]
72, -200.9262354230468, 1, [-0.92623544 -1.4548668  -1.3623976  72.        ]
73, -200.58817231075506, 1, [-0.5881723  -0.92623544 -1.4548668  73.        ]
74, -200.4243191386336, 1, [-0.42431915 -0.5881723  -0.92623544 74.        ]
75, -0.05049933809891896, 0, [-5.0499339e-02 -4.2431915e-01 -5.8817232e-01  7.5000000e+01]
76, -0.42935452386212786, 0, [ 4.2935452e-01 -5.0499339e-02 -4.2431915e-01  7.6000000e+01]
77, -0.3229483013512327, 0, [ 3.2294831e-01  4.2935452e-01 -5.0499339e-02  7.7000000e+01]
78, -200.53783874775976, 1, [ 0.53783876  0.3229483   0.42935452 78.        ]
