time, reward, action, observation
1, -0.4009657126267237, 0, [-0.40096572  0.          0.          1.        ]
2, -1.3839177805421752, 0, [-1.3839178  -0.40096572  0.          2.        ]
3, -201.4439440775695, 1, [-1.4439441  -1.3839178  -0.40096572  3.        ]
4, -201.01229461365003, 1, [-1.0122947 -1.4439441 -1.3839178  4.       ]
5, -200.21324029499408, 1, [-0.2132403 -1.0122947 -1.4439441  5.       ]
6, -200.00358004285084, 1, [ 3.5800429e-03 -2.1324030e-01 -1.0122947e+00  6.0000000e+00]
7, -200.23862517021823, 1, [-2.3862517e-01  3.5800429e-03 -2.1324030e-01  7.0000000e+00]
8, -200.6315881547465, 1, [-6.3158816e-01 -2.3862517e-01  3.5800429e-03  8.0000000e+00]
9, -0.5715856570018243, 0, [-0.57158566 -0.63158816 -0.23862517  9.        ]
10, -200.3468599692369, 1, [ 0.34685996 -0.57158566 -0.63158816 10.        ]
11, -200.57469806227957, 1, [ 0.5746981   0.34685996 -0.57158566 11.        ]
12, -200.09746386481373, 1, [-0.09746386  0.5746981   0.34685996 12.        ]
13, -200.6685481574965, 1, [-0.66854817 -0.09746386  0.5746981  13.        ]
14, -200.14705560537325, 1, [ 0.14705561 -0.66854817 -0.09746386 14.        ]
15, -200.355464530827, 1, [ 0.35546452  0.14705561 -0.66854817 15.        ]
16, -0.34387575002980464, 0, [-0.34387574  0.35546452  0.14705561 16.        ]
17, -200.44259817137063, 1, [-0.44259816 -0.34387574  0.35546452 17.        ]
18, -1.1031890951656758, 0, [-1.1031891  -0.44259816 -0.34387574 18.        ]
19, -1.9463058812324847, 0, [-1.9463059  -1.1031891  -0.44259816 19.        ]
20, -2.8648022217243607, 0, [-2.8648021 -1.9463059 -1.1031891 20.       ]
21, -3.956255979933983, 0, [-3.956256  -2.8648021 -1.9463059 21.       ]
22, -203.22119838928145, 1, [-3.2211983 -3.956256  -2.8648021 22.       ]
23, -202.61974041845465, 1, [-2.6197405 -3.2211983 -3.956256  23.       ]
24, -202.39906430518593, 1, [-2.3990643 -2.6197405 -3.2211983 24.       ]
25, -201.77508692495462, 1, [-1.7750869 -2.3990643 -2.6197405 25.       ]
26, -0.8609773672389144, 0, [-0.86097735 -1.7750869  -2.3990643  26.        ]
27, -0.9512014067691902, 0, [-0.9512014  -0.86097735 -1.7750869  27.        ]
28, -1.151745701576158, 0, [-1.1517457  -0.9512014  -0.86097735 28.        ]
29, -1.8025548154437387, 0, [-1.8025548 -1.1517457 -0.9512014 29.       ]
30, -201.70485311562257, 1, [-1.704853  -1.8025548 -1.1517457 30.       ]
31, -202.0611537185285, 1, [-2.0611537 -1.704853  -1.8025548 31.       ]
32, -201.7780320230101, 1, [-1.7780321 -2.0611537 -1.704853  32.       ]
33, -1.5704775371174027, 0, [-1.5704775 -1.7780321 -2.0611537 33.       ]
34, -1.5566028238824938, 0, [-1.5566028 -1.5704775 -1.7780321 34.       ]
35, -201.82928967050384, 1, [-1.8292897 -1.5566028 -1.5704775 35.       ]
36, -201.7783283839192, 1, [-1.7783284 -1.8292897 -1.5566028 36.       ]
37, -202.03130648748643, 1, [-2.0313065 -1.7783284 -1.8292897 37.       ]
38, -2.911293343442585, 0, [-2.9112933 -2.0313065 -1.7783284 38.       ]
39, -202.4738914392148, 1, [-2.4738915 -2.9112933 -2.0313065 39.       ]
40, -202.56275947320967, 1, [-2.5627594 -2.4738915 -2.9112933 40.       ]
41, -201.58178879234617, 1, [-1.5817888 -2.5627594 -2.4738915 41.       ]
42, -200.8134534486957, 1, [-0.81345344 -1.5817888  -2.5627594  42.        ]
43, -201.55927558814517, 1, [-1.5592756  -0.81345344 -1.5817888  43.        ]
44, -201.29305860164763, 1, [-1.2930586  -1.5592756  -0.81345344 44.        ]
45, -201.59443282133492, 1, [-1.5944328 -1.2930586 -1.5592756 45.       ]
46, -1.8190035870056118, 0, [-1.8190036 -1.5944328 -1.2930586 46.       ]
47, -201.54207833930732, 1, [-1.5420784 -1.8190036 -1.5944328 47.       ]
48, -202.24525265950197, 1, [-2.2452526 -1.5420784 -1.8190036 48.       ]
49, -202.1152313870957, 1, [-2.1152313 -2.2452526 -1.5420784 49.       ]
50, -2.1391093848703595, 0, [-2.1391094 -2.1152313 -2.2452526 50.       ]
51, -201.3196720970135, 1, [-1.3196721 -2.1391094 -2.1152313 51.       ]
52, -201.56813799941236, 1, [-1.568138  -1.3196721 -2.1391094 52.       ]
53, -1.3978897724085904, 0, [-1.3978897 -1.568138  -1.3196721 53.       ]
54, -201.6964740740208, 1, [-1.6964741 -1.3978897 -1.568138  54.       ]
55, -201.6384571567854, 1, [-1.6384572 -1.6964741 -1.3978897 55.       ]
56, -201.78725788915318, 1, [-1.7872579 -1.6384572 -1.6964741 56.       ]
57, -200.8007390996067, 1, [-0.8007391 -1.7872579 -1.6384572 57.       ]
58, -200.23067128744802, 1, [-0.23067129 -0.8007391  -1.7872579  58.        ]
59, -201.11331321991165, 1, [ 1.1133132  -0.23067129 -0.8007391  59.        ]
60, -201.4711788154445, 1, [ 1.4711788   1.1133132  -0.23067129 60.        ]
