time, reward, action, observation
1, -0.2973618489201882, 0, [-0.29736185  0.          0.          1.        ]
2, -0.21985958434642078, 0, [-0.21985959 -0.29736185  0.          2.        ]
3, -200.3473953730927, 1, [ 0.34739536 -0.21985959 -0.29736185  3.        ]
4, -200.89803377885738, 1, [ 0.8980338   0.34739536 -0.21985959  4.        ]
5, -2.2474675528336223, 0, [2.2474675  0.8980338  0.34739536 5.        ]
6, -3.1344198815894893, 0, [3.13442   2.2474675 0.8980338 6.       ]
7, -4.116070338970522, 0, [4.1160703 3.13442   2.2474675 7.       ]
8, -4.71827986394673, 0, [4.71828   4.1160703 3.13442   8.       ]
9, -4.487623227424528, 0, [4.487623  4.71828   4.1160703 9.       ]
10, -3.951168357937331, 0, [ 3.9511683  4.487623   4.71828   10.       ]
11, -3.5900856315742034, 0, [ 3.5900857  3.9511683  4.487623  11.       ]
12, -2.8436320859137405, 0, [ 2.843632   3.5900857  3.9511683 12.       ]
13, -2.1507337395259, 0, [ 2.1507337  2.843632   3.5900857 13.       ]
14, -202.25587764365366, 1, [ 2.2558777  2.1507337  2.843632  14.       ]
15, -2.6252186123351424, 0, [ 2.6252186  2.2558777  2.1507337 15.       ]
16, -3.2068632148706264, 0, [ 3.2068632  2.6252186  2.2558777 16.       ]
17, -3.8447401108587282, 0, [ 3.8447402  3.2068632  2.6252186 17.       ]
18, -4.2674037316628874, 0, [ 4.2674036  3.8447402  3.2068632 18.       ]
19, -3.671663174314145, 0, [ 3.6716633  4.2674036  3.8447402 19.       ]
20, -3.6908000082530843, 0, [ 3.6908     3.6716633  4.2674036 20.       ]
21, -202.35000386315164, 1, [ 2.350004   3.6908     3.6716633 21.       ]
22, -1.3854094686515976, 0, [ 1.3854095  2.350004   3.6908    22.       ]
23, -200.9552129880646, 1, [ 0.955213   1.3854095  2.350004  23.       ]
24, -0.6796920166074921, 0, [ 0.67969203  0.955213    1.3854095  24.        ]
25, -200.6530263227849, 1, [ 0.65302634  0.67969203  0.955213   25.        ]
26, -0.46477248148676265, 0, [ 0.4647725   0.65302634  0.67969203 26.        ]
27, -200.8107800315627, 1, [ 0.81078005  0.4647725   0.65302634 27.        ]
28, -0.44503541177260075, 0, [ 0.4450354   0.81078005  0.4647725  28.        ]
29, -0.5483920066640864, 0, [ 0.548392    0.4450354   0.81078005 29.        ]
30, -200.36878712340416, 1, [-0.3687871  0.548392   0.4450354 30.       ]
