time, reward, action, observation
1, -200.1727920960324, 1, [0.17279209 0.         0.         1.        ]
2, -200.58360116778297, 1, [0.5836012  0.17279209 0.         2.        ]
3, -200.72117297050949, 1, [0.721173   0.5836012  0.17279209 3.        ]
4, -200.02378183213798, 1, [-0.02378183  0.721173    0.5836012   4.        ]
5, -0.1670677409193792, 0, [-0.16706774 -0.02378183  0.721173    5.        ]
6, -0.05850918176249845, 0, [-0.05850918 -0.16706774 -0.02378183  6.        ]
7, -200.30025496089553, 1, [-0.30025497 -0.05850918 -0.16706774  7.        ]
8, -200.00033443971537, 1, [-3.3443971e-04 -3.0025497e-01 -5.8509182e-02  8.0000000e+00]
9, -200.22999255212096, 1, [ 2.2999255e-01 -3.3443971e-04 -3.0025497e-01  9.0000000e+00]
10, -0.5613203939177827, 0, [ 5.6132036e-01  2.2999255e-01 -3.3443971e-04  1.0000000e+01]
11, -200.53873270623632, 1, [ 0.5387327   0.56132036  0.22999255 11.        ]
12, -200.7222779365157, 1, [ 0.72227794  0.5387327   0.56132036 12.        ]
13, -200.26785366001707, 1, [ 0.26785365  0.72227794  0.5387327  13.        ]
14, -200.070834216178, 1, [ 0.07083422  0.26785365  0.72227794 14.        ]
15, -0.3278409952332, 0, [-0.32784098  0.07083422  0.26785365 15.        ]
16, -200.03975136350437, 1, [-0.03975136 -0.32784098  0.07083422 16.        ]
17, -0.21058139561952435, 0, [ 0.21058139 -0.03975136 -0.32784098 17.        ]
18, -0.2646192274360952, 0, [ 0.26461923  0.21058139 -0.03975136 18.        ]
19, -200.16002802704145, 1, [-0.16002803  0.26461923  0.21058139 19.        ]
20, -200.33096322374067, 1, [-0.33096322 -0.16002803  0.26461923 20.        ]
21, -0.4636402908408571, 0, [-0.4636403  -0.33096322 -0.16002803 21.        ]
22, -200.54848762769203, 1, [-0.5484876  -0.4636403  -0.33096322 22.        ]
23, -200.17272672604162, 1, [ 0.17272672 -0.5484876  -0.4636403  23.        ]
24, -200.76384690412522, 1, [ 0.76384693  0.17272672 -0.5484876  24.        ]
25, -0.11883819289085862, 0, [-0.11883819  0.76384693  0.17272672 25.        ]
26, -201.18556032053473, 1, [-1.1855603  -0.11883819  0.76384693 26.        ]
27, -201.25393225569977, 1, [-1.2539322  -1.1855603  -0.11883819 27.        ]
28, -1.5197250096199866, 0, [-1.519725  -1.2539322 -1.1855603 28.       ]
29, -1.6255377140068505, 0, [-1.6255378 -1.519725  -1.2539322 29.       ]
30, -1.60152691200506, 0, [-1.6015269 -1.6255378 -1.519725  30.       ]
31, -0.5233988928781033, 0, [-0.5233989 -1.6015269 -1.6255378 31.       ]
32, -0.21690685892267847, 0, [-0.21690686 -0.5233989  -1.6015269  32.        ]
33, -200.3219655396257, 1, [-0.32196555 -0.21690686 -0.5233989  33.        ]
34, -200.7341253615481, 1, [ 0.7341254  -0.32196555 -0.21690686 34.        ]
35, -1.902349580588071, 0, [ 1.9023496   0.7341254  -0.32196555 35.        ]
36, -3.1684606420081685, 0, [ 3.1684606  1.9023496  0.7341254 36.       ]
37, -3.9243463053005154, 0, [ 3.9243462  3.1684606  1.9023496 37.       ]
38, -202.5933550171514, 1, [ 2.593355   3.9243462  3.1684606 38.       ]
39, -1.6122943587434468, 0, [ 1.6122943  2.593355   3.9243462 39.       ]
40, -201.25186459991, 1, [ 1.2518646  1.6122943  2.593355  40.       ]
41, -200.38022147538877, 1, [ 0.3802215  1.2518646  1.6122943 41.       ]
42, -0.6587063551185109, 0, [-0.65870637  0.3802215   1.2518646  42.        ]
43, -200.75556363104434, 1, [-0.7555636  -0.65870637  0.3802215  43.        ]
44, -1.3054252633153676, 0, [-1.3054253  -0.7555636  -0.65870637 44.        ]
45, -201.23367006627439, 1, [-1.2336701 -1.3054253 -0.7555636 45.       ]
46, -200.9770605104092, 1, [-0.9770605 -1.2336701 -1.3054253 46.       ]
47, -0.7539797471893066, 0, [-0.75397974 -0.9770605  -1.2336701  47.        ]
48, -200.850795894681, 1, [-0.85079587 -0.75397974 -0.9770605  48.        ]
49, -200.4332850992378, 1, [-0.4332851  -0.85079587 -0.75397974 49.        ]
50, -0.34630701425793264, 0, [ 0.346307   -0.4332851  -0.85079587 50.        ]
51, -200.57605678241927, 1, [ 0.5760568  0.346307  -0.4332851 51.       ]
52, -200.11153254644285, 1, [ 0.11153255  0.5760568   0.346307   52.        ]
53, -200.3851896031485, 1, [ 0.3851896   0.11153255  0.5760568  53.        ]
54, -0.35339523927946176, 0, [ 0.35339525  0.3851896   0.11153255 54.        ]
55, -200.7313452119197, 1, [ 0.73134524  0.35339525  0.3851896  55.        ]
56, -0.49781148159316513, 0, [ 0.4978115   0.73134524  0.35339525 56.        ]
57, -0.7682180988963292, 0, [ 0.7682181   0.4978115   0.73134524 57.        ]
58, -0.9745116654311202, 0, [ 0.9745117  0.7682181  0.4978115 58.       ]
59, -200.2272223244405, 1, [ 0.22722232  0.9745117   0.7682181  59.        ]
60, -200.0856492780119, 1, [-0.08564927  0.22722232  0.9745117  60.        ]
61, -0.30889542058805375, 0, [-0.3088954  -0.08564927  0.22722232 61.        ]
62, -0.35109666506674736, 0, [-0.35109666 -0.3088954  -0.08564927 62.        ]
63, -0.8759517231201911, 0, [-0.8759517  -0.35109666 -0.3088954  63.        ]
64, -201.3734627802921, 1, [-1.3734628  -0.8759517  -0.35109666 64.        ]
65, -201.13351823816933, 1, [-1.1335182 -1.3734628 -0.8759517 65.       ]
66, -201.1471390017625, 1, [-1.147139  -1.1335182 -1.3734628 66.       ]
67, -1.0402828067719194, 0, [-1.0402828 -1.147139  -1.1335182 67.       ]
68, -200.47698080525072, 1, [-0.4769808 -1.0402828 -1.147139  68.       ]
69, -0.8507328872092521, 0, [-0.85073286 -0.4769808  -1.0402828  69.        ]
70, -1.0225404945172614, 0, [-1.0225405  -0.85073286 -0.4769808  70.        ]
71, -200.27409974879592, 1, [-0.27409974 -1.0225405  -0.85073286 71.        ]
72, -200.25925669185838, 1, [-0.2592567  -0.27409974 -1.0225405  72.        ]
73, -200.62080802366984, 1, [-0.620808   -0.2592567  -0.27409974 73.        ]
74, -200.20320503938268, 1, [-0.20320503 -0.620808   -0.2592567  74.        ]
75, -200.02284750250854, 1, [ 2.2847503e-02 -2.0320503e-01 -6.2080801e-01  7.5000000e+01]
76, -200.50330184419857, 1, [ 5.0330186e-01  2.2847503e-02 -2.0320503e-01  7.6000000e+01]
77, -200.32703838877157, 1, [3.2703838e-01 5.0330186e-01 2.2847503e-02 7.7000000e+01]
78, -200.4943990431613, 1, [-0.49439904  0.32703838  0.50330186 78.        ]
79, -1.2065543710632465, 0, [-1.2065544  -0.49439904  0.32703838 79.        ]
80, -1.9991927098904037, 0, [-1.9991927  -1.2065544  -0.49439904 80.        ]
81, -201.4184820994965, 1, [-1.4184821 -1.9991927 -1.2065544 81.       ]
82, -201.00179484172546, 1, [-1.0017948 -1.4184821 -1.9991927 82.       ]
83, -1.483869651726173, 0, [-1.4838697 -1.0017948 -1.4184821 83.       ]
84, -2.4671110397783464, 0, [-2.467111  -1.4838697 -1.0017948 84.       ]
85, -2.8118096319264576, 0, [-2.8118095 -2.467111  -1.4838697 85.       ]
86, -202.077189356853, 1, [-2.0771894 -2.8118095 -2.467111  86.       ]
87, -1.8096148197484767, 0, [-1.8096148 -2.0771894 -2.8118095 87.       ]
88, -201.47778892093564, 1, [-1.4777889 -1.8096148 -2.0771894 88.       ]
89, -200.9654637728878, 1, [-0.96546376 -1.4777889  -1.8096148  89.        ]
90, -200.49481537761446, 1, [-0.49481538 -0.96546376 -1.4777889  90.        ]
91, -0.3198244366614009, 0, [ 0.31982443 -0.49481538 -0.96546376 91.        ]
92, -1.0997791016928602, 0, [ 1.0997791   0.31982443 -0.49481538 92.        ]
93, -201.0011930223428, 1, [ 1.001193    1.0997791   0.31982443 93.        ]
94, -0.7929001264688056, 0, [ 0.79290015  1.001193    1.0997791  94.        ]
95, -201.16058064316059, 1, [ 1.1605806   0.79290015  1.001193   95.        ]
96, -0.3292979189747405, 0, [ 0.32929793  1.1605806   0.79290015 96.        ]
97, -200.07427735352337, 1, [7.4277356e-02 3.2929793e-01 1.1605806e+00 9.7000000e+01]
98, -0.11323904684568156, 0, [-1.1323905e-01  7.4277356e-02  3.2929793e-01  9.8000000e+01]
99, -0.9759266475760232, 0, [-9.7592664e-01 -1.1323905e-01  7.4277356e-02  9.9000000e+01]
100, -1.4996699215912732, 0, [ -1.4996699   -0.97592664  -0.11323905 100.        ]
101, -2.24430504702517, 0, [ -2.2443051   -1.4996699   -0.97592664 101.        ]
102, -2.4087907492144143, 0, [ -2.4087908  -2.2443051  -1.4996699 102.       ]
103, -202.11249798370756, 1, [ -2.112498   -2.4087908  -2.2443051 103.       ]
104, -1.5408871509073334, 0, [ -1.5408871  -2.112498   -2.4087908 104.       ]
105, -0.47417668208154795, 0, [ -0.47417668  -1.5408871   -2.112498   105.        ]
106, -0.5706564843358167, 0, [  0.5706565   -0.47417668  -1.5408871  106.        ]
107, -200.20866418175743, 1, [  0.20866418   0.5706565   -0.47417668 107.        ]
108, -0.8380889761575776, 0, [ -0.838089     0.20866418   0.5706565  108.        ]
109, -0.7987994437314068, 0, [ -0.79879946  -0.838089     0.20866418 109.        ]
110, -200.72035130413997, 1, [ -0.7203513   -0.79879946  -0.838089   110.        ]
111, -1.0018752662839527, 0, [ -1.0018753   -0.7203513   -0.79879946 111.        ]
112, -1.1549658919687391, 0, [ -1.1549659  -1.0018753  -0.7203513 112.       ]
113, -201.09037151460464, 1, [ -1.0903715  -1.1549659  -1.0018753 113.       ]
114, -200.4795058397833, 1, [ -0.47950584  -1.0903715   -1.1549659  114.        ]
115, -0.026150791292334448, 0, [ 2.6150791e-02 -4.7950584e-01 -1.0903715e+00  1.1500000e+02]
116, -0.4375508879620433, 0, [ 4.3755090e-01  2.6150791e-02 -4.7950584e-01  1.1600000e+02]
117, -200.07607690083879, 1, [7.6076902e-02 4.3755090e-01 2.6150791e-02 1.1700000e+02]
118, -0.02168176051392995, 0, [2.1681761e-02 7.6076902e-02 4.3755090e-01 1.1800000e+02]
119, -200.50742390479778, 1, [-5.0742388e-01  2.1681761e-02  7.6076902e-02  1.1900000e+02]
120, -200.177948266598, 1, [-1.7794827e-01 -5.0742388e-01  2.1681761e-02  1.2000000e+02]
1, -0.7619687564950659, 0, [0.76196873 0.         0.         1.        ]
2, -200.00037426255452, 1, [-3.7426254e-04  7.6196873e-01  0.0000000e+00  2.0000000e+00]
3, -201.35540387926937, 1, [-1.3554039e+00 -3.7426254e-04  7.6196873e-01  3.0000000e+00]
4, -2.1309881950641154, 0, [-2.1309881e+00 -1.3554039e+00 -3.7426254e-04  4.0000000e+00]
5, -1.4775067399583413, 0, [-1.4775068 -2.1309881 -1.3554039  5.       ]
6, -1.4551840003096688, 0, [-1.455184  -1.4775068 -2.1309881  6.       ]
7, -201.84413080131733, 1, [-1.8441308 -1.455184  -1.4775068  7.       ]
8, -201.31681689437755, 1, [-1.3168169 -1.8441308 -1.455184   8.       ]
9, -1.3153265638548712, 0, [-1.3153266 -1.3168169 -1.8441308  9.       ]
10, -201.35764860272283, 1, [-1.3576486 -1.3153266 -1.3168169 10.       ]
11, -201.32125508584795, 1, [-1.3212551 -1.3576486 -1.3153266 11.       ]
12, -1.0261392292021305, 0, [-1.0261393 -1.3212551 -1.3576486 12.       ]
13, -0.9926977245820409, 0, [-0.9926977 -1.0261393 -1.3212551 13.       ]
14, -200.6895740278696, 1, [-0.689574  -0.9926977 -1.0261393 14.       ]
15, -200.61900902138328, 1, [-0.619009  -0.689574  -0.9926977 15.       ]
16, -200.93101272874995, 1, [-0.93101275 -0.619009   -0.689574   16.        ]
17, -200.99188441420023, 1, [-0.9918844  -0.93101275 -0.619009   17.        ]
18, -201.31812221018419, 1, [-1.3181223  -0.9918844  -0.93101275 18.        ]
19, -1.575854954036498, 0, [-1.5758549 -1.3181223 -0.9918844 19.       ]
20, -2.3439742629011566, 0, [-2.3439744 -1.5758549 -1.3181223 20.       ]
21, -202.63828465490295, 1, [-2.6382847 -2.3439744 -1.5758549 21.       ]
22, -201.53476786518613, 1, [-1.5347679 -2.6382847 -2.3439744 22.       ]
23, -201.13923443055432, 1, [-1.1392344 -1.5347679 -2.6382847 23.       ]
24, -0.8497586955849088, 0, [-0.8497587 -1.1392344 -1.5347679 24.       ]
25, -200.41171297673742, 1, [-0.41171297 -0.8497587  -1.1392344  25.        ]
26, -200.48618008671826, 1, [-0.4861801  -0.41171297 -0.8497587  26.        ]
27, -0.6600214584420164, 0, [-0.6600215  -0.4861801  -0.41171297 27.        ]
28, -0.5865201881550695, 0, [-0.5865202 -0.6600215 -0.4861801 28.       ]
29, -200.33970883368215, 1, [-0.33970883 -0.5865202  -0.6600215  29.        ]
30, -200.82551396704355, 1, [-0.82551396 -0.33970883 -0.5865202  30.        ]
31, -0.7974867753978421, 0, [-0.7974868  -0.82551396 -0.33970883 31.        ]
32, -1.0702824937257973, 0, [-1.0702825  -0.7974868  -0.82551396 32.        ]
33, -1.8165585435452545, 0, [-1.8165586 -1.0702825 -0.7974868 33.       ]
34, -2.863816918400346, 0, [-2.863817  -1.8165586 -1.0702825 34.       ]
