time, reward, action, observation
1, -200.55063122675293, 1, [0.5506312 0.        0.        1.       ]
2, -200.71984686507602, 1, [0.71984684 0.5506312  0.         2.        ]
3, -200.3617601111688, 1, [0.3617601  0.71984684 0.5506312  3.        ]
4, -200.38353631566957, 1, [-0.3835363   0.3617601   0.71984684  4.        ]
5, -1.9270840920599157, 0, [-1.9270841 -0.3835363  0.3617601  5.       ]
6, -201.85639913606113, 1, [-1.8563992 -1.9270841 -0.3835363  6.       ]
7, -201.95334923108734, 1, [-1.9533492 -1.8563992 -1.9270841  7.       ]
8, -202.09240334928484, 1, [-2.0924034 -1.9533492 -1.8563992  8.       ]
9, -2.3146313973847543, 0, [-2.3146315 -2.0924034 -1.9533492  9.       ]
10, -202.0057698755652, 1, [-2.00577   -2.3146315 -2.0924034 10.       ]
11, -2.8970720659974547, 0, [-2.897072  -2.00577   -2.3146315 11.       ]
12, -202.1135755906188, 1, [-2.1135757 -2.897072  -2.00577   12.       ]
13, -202.66346686301424, 1, [-2.663467  -2.1135757 -2.897072  13.       ]
14, -2.173567826653394, 0, [-2.1735678 -2.663467  -2.1135757 14.       ]
15, -201.45212907277119, 1, [-1.4521291 -2.1735678 -2.663467  15.       ]
16, -1.1109003287320762, 0, [-1.1109003 -1.4521291 -2.1735678 16.       ]
17, -0.16641906481040158, 0, [-0.16641906 -1.1109003  -1.4521291  17.        ]
18, -0.5995591772856596, 0, [ 0.5995592  -0.16641906 -1.1109003  18.        ]
19, -200.97164671146697, 1, [ 0.9716467   0.5995592  -0.16641906 19.        ]
20, -1.3229302785356136, 0, [ 1.3229303  0.9716467  0.5995592 20.       ]
21, -201.71573249476603, 1, [ 1.7157325  1.3229303  0.9716467 21.       ]
22, -2.56068549493829, 0, [ 2.5606854  1.7157325  1.3229303 22.       ]
23, -2.782980824379559, 0, [ 2.782981   2.5606854  1.7157325 23.       ]
24, -2.6545711987107663, 0, [ 2.6545713  2.782981   2.5606854 24.       ]
25, -2.723457024231948, 0, [ 2.723457   2.6545713  2.782981  25.       ]
26, -2.6735606088313077, 0, [ 2.6735606  2.723457   2.6545713 26.       ]
27, -1.49118636823357, 0, [ 1.4911864  2.6735606  2.723457  27.       ]
28, -202.07647543828145, 1, [ 2.0764754  1.4911864  2.6735606 28.       ]
29, -1.4572180073853487, 0, [ 1.457218   2.0764754  1.4911864 29.       ]
30, -200.08421051038795, 1, [ 0.08421051  1.457218    2.0764754  30.        ]
31, -1.6522516970764651, 0, [-1.6522517   0.08421051  1.457218   31.        ]
32, -2.7589958428248127, 0, [-2.7589958  -1.6522517   0.08421051 32.        ]
33, -201.59662931797743, 1, [-1.5966293 -2.7589958 -1.6522517 33.       ]
34, -0.7844436243945903, 0, [-0.7844436 -1.5966293 -2.7589958 34.       ]
35, -0.3302337448005603, 0, [-0.33023375 -0.7844436  -1.5966293  35.        ]
36, -200.11777203275352, 1, [-0.11777204 -0.33023375 -0.7844436  36.        ]
37, -200.24836450521246, 1, [-0.24836451 -0.11777204 -0.33023375 37.        ]
38, -200.18833836767078, 1, [-0.18833837 -0.24836451 -0.11777204 38.        ]
39, -200.7185857765183, 1, [-0.7185858  -0.18833837 -0.24836451 39.        ]
40, -0.9236549872864193, 0, [-0.923655   -0.7185858  -0.18833837 40.        ]
41, -200.61239156396547, 1, [-0.6123916 -0.923655  -0.7185858 41.       ]
42, -201.68231547417165, 1, [-1.6823155 -0.6123916 -0.923655  42.       ]
43, -201.63944579659906, 1, [-1.6394458 -1.6823155 -0.6123916 43.       ]
44, -201.2888174118937, 1, [-1.2888174 -1.6394458 -1.6823155 44.       ]
45, -200.7458937043063, 1, [-0.7458937 -1.2888174 -1.6394458 45.       ]
46, -200.94772779662318, 1, [-0.9477278 -0.7458937 -1.2888174 46.       ]
47, -201.49240193606542, 1, [-1.492402  -0.9477278 -0.7458937 47.       ]
48, -201.8161325288603, 1, [-1.8161325 -1.492402  -0.9477278 48.       ]
49, -201.30332773699436, 1, [-1.3033277 -1.8161325 -1.492402  49.       ]
50, -1.31900165799756, 0, [-1.3190017 -1.3033277 -1.8161325 50.       ]
51, -201.49254112584026, 1, [-1.4925411 -1.3190017 -1.3033277 51.       ]
52, -1.0594899112641794, 0, [-1.05949   -1.4925411 -1.3190017 52.       ]
53, -201.2137621258693, 1, [-1.2137622 -1.05949   -1.4925411 53.       ]
54, -1.7864962079302265, 0, [-1.7864962 -1.2137622 -1.05949   54.       ]
55, -201.63791304954782, 1, [-1.6379131 -1.7864962 -1.2137622 55.       ]
56, -201.2527683980756, 1, [-1.2527684 -1.6379131 -1.7864962 56.       ]
57, -200.4718874808123, 1, [-0.47188747 -1.2527684  -1.6379131  57.        ]
58, -200.71110837771573, 1, [-0.7111084  -0.47188747 -1.2527684  58.        ]
59, -1.686562392456115, 0, [-1.6865624  -0.7111084  -0.47188747 59.        ]
60, -201.63403337780437, 1, [-1.6340333 -1.6865624 -0.7111084 60.       ]
61, -201.0423649871467, 1, [-1.042365  -1.6340333 -1.6865624 61.       ]
62, -201.5216829183227, 1, [-1.521683  -1.042365  -1.6340333 62.       ]
63, -2.1487687711558525, 0, [-2.1487687 -1.521683  -1.042365  63.       ]
64, -201.75220161017256, 1, [-1.7522016 -2.1487687 -1.521683  64.       ]
65, -1.3194357313748766, 0, [-1.3194357 -1.7522016 -2.1487687 65.       ]
66, -0.9315435328780269, 0, [-0.9315435 -1.3194357 -1.7522016 66.       ]
67, -0.7496745327693235, 0, [-0.74967456 -0.9315435  -1.3194357  67.        ]
68, -201.0003007965446, 1, [-1.0003008  -0.74967456 -0.9315435  68.        ]
69, -1.664870808045401, 0, [-1.6648709  -1.0003008  -0.74967456 69.        ]
70, -200.9266915634622, 1, [-0.9266916 -1.6648709 -1.0003008 70.       ]
71, -0.8947530252384304, 0, [-0.89475304 -0.9266916  -1.6648709  71.        ]
