time, reward, action, observation
1, -0.017096383626592083, 0, [0.01709638 0.         0.         1.        ]
2, -0.7106472606828466, 0, [0.7106473  0.01709638 0.         2.        ]
3, -201.32027237859555, 1, [1.3202723  0.7106473  0.01709638 3.        ]
4, -200.95141527849248, 1, [0.9514153 1.3202723 0.7106473 4.       ]
5, -200.59118694236395, 1, [0.59118694 0.9514153  1.3202723  5.        ]
6, -200.17526840128843, 1, [0.1752684  0.59118694 0.9514153  6.        ]
7, -0.12739674721402255, 0, [0.12739675 0.1752684  0.59118694 7.        ]
8, -200.07132158348506, 1, [0.07132158 0.12739675 0.1752684  8.        ]
9, -200.4243809120591, 1, [0.4243809  0.07132158 0.12739675 9.        ]
10, -200.51069294078556, 1, [-0.51069295  0.4243809   0.07132158 10.        ]
11, -200.20468050063474, 1, [ 0.2046805  -0.51069295  0.4243809  11.        ]
12, -0.728763173693166, 0, [ 0.72876316  0.2046805  -0.51069295 12.        ]
13, -201.0362035202287, 1, [ 1.0362035   0.72876316  0.2046805  13.        ]
14, -200.85131824544936, 1, [ 0.85131824  1.0362035   0.72876316 14.        ]
15, -200.49597639867534, 1, [ 0.4959764   0.85131824  1.0362035  15.        ]
16, -200.59132055870225, 1, [ 0.5913206   0.4959764   0.85131824 16.        ]
17, -200.92422109867925, 1, [ 0.9242211  0.5913206  0.4959764 17.       ]
18, -1.089276595314118, 0, [ 1.0892766  0.9242211  0.5913206 18.       ]
19, -200.86500813024034, 1, [ 0.8650081  1.0892766  0.9242211 19.       ]
20, -1.0284426635859476, 0, [ 1.0284426  0.8650081  1.0892766 20.       ]
21, -0.7240199692888476, 0, [ 0.72401994  1.0284426   0.8650081  21.        ]
22, -200.1977226087506, 1, [-0.19772261  0.72401994  1.0284426  22.        ]
23, -0.7376257398073962, 0, [-0.7376257  -0.19772261  0.72401994 23.        ]
24, -1.5048311564967716, 0, [-1.5048312  -0.7376257  -0.19772261 24.        ]
25, -202.3469813331866, 1, [-2.3469813 -1.5048312 -0.7376257 25.       ]
26, -3.427728306511147, 0, [-3.4277284 -2.3469813 -1.5048312 26.       ]
27, -4.526124664617155, 0, [-4.5261245 -3.4277284 -2.3469813 27.       ]
28, -6.001442989818093, 0, [-6.001443  -4.5261245 -3.4277284 28.       ]
29, -7.9279295920103605, 0, [-7.9279294 -6.001443  -4.5261245 29.       ]
30, -206.94937980016707, 1, [-6.94938   -7.9279294 -6.001443  30.       ]
31, -205.23228643708154, 1, [-5.2322865 -6.94938   -7.9279294 31.       ]
32, -204.23695170803504, 1, [-4.236952  -5.2322865 -6.94938   32.       ]
33, -203.7715838928564, 1, [-3.7715838 -4.236952  -5.2322865 33.       ]
34, -202.90117471519684, 1, [-2.9011748 -3.7715838 -4.236952  34.       ]
35, -201.93910338874264, 1, [-1.9391034 -2.9011748 -3.7715838 35.       ]
36, -1.3194516268234968, 0, [-1.3194516 -1.9391034 -2.9011748 36.       ]
37, -200.73686118066422, 1, [-0.73686117 -1.3194516  -1.9391034  37.        ]
38, -0.25064891455466143, 0, [ 0.25064892 -0.73686117 -1.3194516  38.        ]
39, -200.26506848535678, 1, [ 0.26506847  0.25064892 -0.73686117 39.        ]
40, -200.18179311196275, 1, [-0.18179311  0.26506847  0.25064892 40.        ]
41, -0.36545709056062664, 0, [-0.3654571  -0.18179311  0.26506847 41.        ]
42, -200.21259732216515, 1, [-0.21259733 -0.3654571  -0.18179311 42.        ]
43, -200.39528219653175, 1, [ 0.3952822  -0.21259733 -0.3654571  43.        ]
44, -200.2129926213245, 1, [-0.21299262  0.3952822  -0.21259733 44.        ]
45, -1.0304189407872753, 0, [-1.030419   -0.21299262  0.3952822  45.        ]
46, -201.41542360173318, 1, [-1.4154236  -1.030419   -0.21299262 46.        ]
47, -2.590434753606351, 0, [-2.5904348 -1.4154236 -1.030419  47.       ]
48, -202.30074969973055, 1, [-2.3007498 -2.5904348 -1.4154236 48.       ]
49, -1.8050995503821325, 0, [-1.8050996 -2.3007498 -2.5904348 49.       ]
50, -201.80637461416316, 1, [-1.8063747 -1.8050996 -2.3007498 50.       ]
51, -1.114571127939883, 0, [-1.1145711 -1.8063747 -1.8050996 51.       ]
52, -0.1501661706310526, 0, [-0.15016617 -1.1145711  -1.8063747  52.        ]
53, -200.3418534492571, 1, [ 0.34185344 -0.15016617 -1.1145711  53.        ]
54, -0.9363226908881004, 0, [ 0.9363227   0.34185344 -0.15016617 54.        ]
55, -201.3594609212313, 1, [ 1.359461    0.9363227   0.34185344 55.        ]
56, -200.54365937091762, 1, [ 0.5436594  1.359461   0.9363227 56.       ]
57, -200.63311045264555, 1, [ 0.63311046  0.5436594   1.359461   57.        ]
58, -200.84751337006546, 1, [ 0.8475134   0.63311046  0.5436594  58.        ]
59, -200.13764359092931, 1, [-0.13764359  0.8475134   0.63311046 59.        ]
60, -0.7522541086979446, 0, [-0.7522541  -0.13764359  0.8475134  60.        ]
61, -200.85544180750423, 1, [-0.8554418  -0.7522541  -0.13764359 61.        ]
62, -0.5472306185184246, 0, [-0.5472306 -0.8554418 -0.7522541 62.       ]
63, -200.6298910231366, 1, [-0.62989104 -0.5472306  -0.8554418  63.        ]
64, -200.5514545529982, 1, [-0.55145454 -0.62989104 -0.5472306  64.        ]
65, -200.2792462306375, 1, [-0.27924624 -0.55145454 -0.62989104 65.        ]
66, -200.6291443465299, 1, [-0.6291444  -0.27924624 -0.55145454 66.        ]
67, -200.2851666255377, 1, [-0.28516662 -0.6291444  -0.27924624 67.        ]
68, -200.23698512435476, 1, [-0.23698512 -0.28516662 -0.6291444  68.        ]
69, -0.04780138843122586, 0, [ 4.7801390e-02 -2.3698512e-01 -2.8516662e-01  6.9000000e+01]
70, -0.014711845491616693, 0, [ 1.4711846e-02  4.7801390e-02 -2.3698512e-01  7.0000000e+01]
71, -200.55016439498138, 1, [5.5016440e-01 1.4711846e-02 4.7801390e-02 7.1000000e+01]
72, -200.85041148891744, 1, [8.5041147e-01 5.5016440e-01 1.4711846e-02 7.2000000e+01]
73, -200.67337267336077, 1, [ 0.6733727  0.8504115  0.5501644 73.       ]
74, -200.8532854136808, 1, [ 0.85328543  0.6733727   0.8504115  74.        ]
75, -201.37542336662236, 1, [ 1.3754233   0.85328543  0.6733727  75.        ]
76, -202.13448545718245, 1, [ 2.1344855   1.3754233   0.85328543 76.        ]
77, -201.12762953330275, 1, [ 1.1276295  2.1344855  1.3754233 77.       ]
78, -201.2276777659648, 1, [ 1.2276778  1.1276295  2.1344855 78.       ]
79, -201.27979129489307, 1, [ 1.2797912  1.2276778  1.1276295 79.       ]
80, -1.2745517279424992, 0, [ 1.2745517  1.2797912  1.2276778 80.       ]
81, -200.56645265327109, 1, [ 0.5664527  1.2745517  1.2797912 81.       ]
82, -200.99111868353685, 1, [ 0.99111867  0.5664527   1.2745517  82.        ]
83, -200.26961726229118, 1, [ 0.26961726  0.99111867  0.5664527  83.        ]
84, -200.39451100579268, 1, [ 0.394511    0.26961726  0.99111867 84.        ]
85, -201.0023062419274, 1, [ 1.0023062   0.394511    0.26961726 85.        ]
86, -200.13934983697484, 1, [ 0.13934983  1.0023062   0.394511   86.        ]
87, -200.17227808197515, 1, [-0.17227808  0.13934983  1.0023062  87.        ]
88, -1.076188825893328, 0, [-1.0761888  -0.17227808  0.13934983 88.        ]
89, -1.6772903670099095, 0, [-1.6772903  -1.0761888  -0.17227808 89.        ]
90, -200.74791258952965, 1, [-0.7479126 -1.6772903 -1.0761888 90.       ]
91, -200.53223188377802, 1, [ 0.53223187 -0.7479126  -1.6772903  91.        ]
92, -200.23715932333897, 1, [-0.23715933  0.53223187 -0.7479126  92.        ]
93, -200.609790927604, 1, [-0.6097909  -0.23715933  0.53223187 93.        ]
94, -200.2200728892043, 1, [-0.2200729  -0.6097909  -0.23715933 94.        ]
95, -200.66717998525894, 1, [ 0.66718   -0.2200729 -0.6097909 95.       ]
96, -200.9129969696708, 1, [ 0.91299695  0.66718    -0.2200729  96.        ]
97, -200.433172173234, 1, [ 0.43317217  0.91299695  0.66718    97.        ]
98, -200.43565841290538, 1, [ 0.43565843  0.43317217  0.91299695 98.        ]
99, -0.42933780415209044, 0, [ 0.4293378   0.43565843  0.43317217 99.        ]
100, -0.32241095595536445, 0, [  0.32241094   0.4293378    0.43565843 100.        ]
101, -0.13036607187572652, 0, [ -0.13036607   0.32241094   0.4293378  101.        ]
102, -0.29895781616909656, 0, [ -0.29895782  -0.13036607   0.32241094 102.        ]
103, -200.12415943148608, 1, [ -0.12415943  -0.29895782  -0.13036607 103.        ]
104, -0.03081278752783241, 0, [-3.0812787e-02 -1.2415943e-01 -2.9895782e-01  1.0400000e+02]
105, -200.1217912483404, 1, [-1.2179125e-01 -3.0812787e-02 -1.2415943e-01  1.0500000e+02]
106, -0.8370323022602825, 0, [-8.3703232e-01 -1.2179125e-01 -3.0812787e-02  1.0600000e+02]
107, -201.06063353609653, 1, [ -1.0606335   -0.8370323   -0.12179125 107.        ]
108, -200.32348353206157, 1, [ -0.32348353  -1.0606335   -0.8370323  108.        ]
109, -200.24906129471913, 1, [ -0.2490613   -0.32348353  -1.0606335  109.        ]
110, -0.9093721632642554, 0, [ -0.90937215  -0.2490613   -0.32348353 110.        ]
111, -0.7703994546246912, 0, [ -0.77039945  -0.90937215  -0.2490613  111.        ]
112, -0.39408858347157977, 0, [ -0.3940886   -0.77039945  -0.90937215 112.        ]
113, -200.783218843581, 1, [  0.78321886  -0.3940886   -0.77039945 113.        ]
114, -200.87752910163235, 1, [  0.8775291    0.78321886  -0.3940886  114.        ]
115, -200.52152179713352, 1, [  0.5215218    0.8775291    0.78321886 115.        ]
116, -0.4871063958532955, 0, [ -0.48710638   0.5215218    0.8775291  116.        ]
117, -0.6320897652108126, 0, [ -0.6320898   -0.48710638   0.5215218  117.        ]
118, -200.73060301462098, 1, [  0.73060304  -0.6320898   -0.48710638 118.        ]
119, -200.42126990844275, 1, [  0.4212699    0.73060304  -0.6320898  119.        ]
120, -200.01917039400868, 1, [-1.9170394e-02  4.2126989e-01  7.3060304e-01  1.2000000e+02]
1, -200.29809439933618, 1, [0.2980944 0.        0.        1.       ]
2, -0.12139720109841418, 0, [0.1213972 0.2980944 0.        2.       ]
3, -200.06157708629146, 1, [-0.06157709  0.1213972   0.2980944   3.        ]
4, -0.3828753659244081, 0, [-0.38287535 -0.06157709  0.1213972   4.        ]
5, -200.27704358847174, 1, [-0.27704358 -0.38287535 -0.06157709  5.        ]
6, -200.3316256917765, 1, [ 0.3316257  -0.27704358 -0.38287535  6.        ]
7, -200.38698646078893, 1, [ 0.38698646  0.3316257  -0.27704358  7.        ]
8, -0.8907301238889601, 0, [0.89073014 0.38698646 0.3316257  8.        ]
9, -200.61886784216247, 1, [0.6188678  0.89073014 0.38698646 9.        ]
10, -0.5652772846430028, 0, [ 0.5652773   0.6188678   0.89073014 10.        ]
11, -0.5467079561291759, 0, [-0.5467079  0.5652773  0.6188678 11.       ]
12, -201.36212635506274, 1, [-1.3621264 -0.5467079  0.5652773 12.       ]
13, -1.6165043678687232, 0, [-1.6165043 -1.3621264 -0.5467079 13.       ]
14, -201.69363885057916, 1, [-1.6936388 -1.6165043 -1.3621264 14.       ]
15, -201.14504068998383, 1, [-1.1450406 -1.6936388 -1.6165043 15.       ]
16, -200.60288634648384, 1, [-0.6028863 -1.1450406 -1.6936388 16.       ]
17, -200.24145959303198, 1, [ 0.2414596 -0.6028863 -1.1450406 17.       ]
18, -1.3228658744827324, 0, [ 1.3228658  0.2414596 -0.6028863 18.       ]
19, -201.79272801468093, 1, [ 1.7927281  1.3228658  0.2414596 19.       ]
20, -2.1127820615073687, 0, [ 2.112782   1.7927281  1.3228658 20.       ]
21, -201.476802990877, 1, [ 1.476803   2.112782   1.7927281 21.       ]
22, -200.77297847217298, 1, [ 0.7729785  1.476803   2.112782  22.       ]
23, -0.034103112934604024, 0, [-0.03410311  0.7729785   1.476803   23.        ]
24, -1.2446829380272173, 0, [-1.2446829  -0.03410311  0.7729785  24.        ]
25, -2.486868589161487, 0, [-2.4868686  -1.2446829  -0.03410311 25.        ]
26, -202.33400384483136, 1, [-2.334004  -2.4868686 -1.2446829 26.       ]
27, -201.8102988920126, 1, [-1.8102989 -2.334004  -2.4868686 27.       ]
28, -201.60630367187449, 1, [-1.6063037 -1.8102989 -2.334004  28.       ]
29, -202.2784972823291, 1, [-2.2784972 -1.6063037 -1.8102989 29.       ]
30, -202.05763017208065, 1, [-2.05763   -2.2784972 -1.6063037 30.       ]
31, -201.5803977133944, 1, [-1.5803977 -2.05763   -2.2784972 31.       ]
32, -0.6563739491234569, 0, [-0.656374  -1.5803977 -2.05763   32.       ]
33, -0.37177701010120545, 0, [ 0.371777  -0.656374  -1.5803977 33.       ]
34, -200.15501649888822, 1, [ 0.1550165  0.371777  -0.656374  34.       ]
35, -200.26635610279035, 1, [-0.2663561  0.1550165  0.371777  35.       ]
36, -0.40184457705467214, 0, [ 0.4018446 -0.2663561  0.1550165 36.       ]
37, -1.3147240979393058, 0, [ 1.3147241  0.4018446 -0.2663561 37.       ]
38, -202.1661488769795, 1, [ 2.166149   1.3147241  0.4018446 38.       ]
39, -203.02051528691902, 1, [ 3.0205152  2.166149   1.3147241 39.       ]
40, -202.26488963329962, 1, [ 2.2648897  3.0205152  2.166149  40.       ]
41, -201.9742418385313, 1, [ 1.9742419  2.2648897  3.0205152 41.       ]
42, -201.8409429996219, 1, [ 1.840943   1.9742419  2.2648897 42.       ]
43, -201.80487041748782, 1, [ 1.8048704  1.840943   1.9742419 43.       ]
44, -201.78127065018936, 1, [ 1.7812706  1.8048704  1.840943  44.       ]
45, -201.59351870184707, 1, [ 1.5935187  1.7812706  1.8048704 45.       ]
46, -201.39558001994166, 1, [ 1.39558    1.5935187  1.7812706 46.       ]
47, -200.38936705709892, 1, [ 0.38936704  1.39558     1.5935187  47.        ]
48, -200.08337366231612, 1, [ 0.08337367  0.38936704  1.39558    48.        ]
49, -200.35273491732846, 1, [-0.35273492  0.08337367  0.38936704 49.        ]
50, -200.30303105049583, 1, [-0.30303106 -0.35273492  0.08337367 50.        ]
51, -200.48036659375506, 1, [-0.4803666  -0.30303106 -0.35273492 51.        ]
52, -200.12262125009426, 1, [-0.12262125 -0.4803666  -0.30303106 52.        ]
53, -0.5731128796743541, 0, [ 0.5731129  -0.12262125 -0.4803666  53.        ]
54, -1.284046365993512, 0, [ 1.2840464   0.5731129  -0.12262125 54.        ]
55, -201.35043237740356, 1, [ 1.3504324  1.2840464  0.5731129 55.       ]
56, -1.450014529006579, 0, [ 1.4500145  1.3504324  1.2840464 56.       ]
57, -1.3057813038078931, 0, [ 1.3057812  1.4500145  1.3504324 57.       ]
58, -200.99152834705046, 1, [ 0.99152833  1.3057812   1.4500145  58.        ]
59, -200.5347803067876, 1, [ 0.5347803   0.99152833  1.3057812  59.        ]
60, -0.3633754416502477, 0, [ 0.36337546  0.5347803   0.99152833 60.        ]
61, -0.23330825546133618, 0, [ 0.23330826  0.36337546  0.5347803  61.        ]
62, -0.4199001058146321, 0, [ 0.41990012  0.23330826  0.36337546 62.        ]
63, -0.09515056970178126, 0, [-0.09515057  0.41990012  0.23330826 63.        ]
64, -200.2815548775703, 1, [ 0.28155488 -0.09515057  0.41990012 64.        ]
65, -200.0845691497028, 1, [-0.08456915  0.28155488 -0.09515057 65.        ]
66, -200.49675902324915, 1, [-0.49675903 -0.08456915  0.28155488 66.        ]
67, -0.925232414517134, 0, [-0.9252324  -0.49675903 -0.08456915 67.        ]
68, -201.1274432646649, 1, [-1.1274433  -0.9252324  -0.49675903 68.        ]
69, -200.833843480593, 1, [-0.83384347 -1.1274433  -0.9252324  69.        ]
70, -200.94053494647915, 1, [-0.94053495 -0.83384347 -1.1274433  70.        ]
71, -201.34185876484372, 1, [-1.3418587  -0.94053495 -0.83384347 71.        ]
72, -2.0858192237249025, 0, [-2.0858192  -1.3418587  -0.94053495 72.        ]
73, -201.21513015871614, 1, [-1.2151302 -2.0858192 -1.3418587 73.       ]
74, -200.85926991860154, 1, [-0.8592699 -1.2151302 -2.0858192 74.       ]
75, -201.24861423567924, 1, [-1.2486142 -0.8592699 -1.2151302 75.       ]
76, -1.5559009877527155, 0, [-1.5559009 -1.2486142 -0.8592699 76.       ]
77, -2.5797035967641935, 0, [-2.5797036 -1.5559009 -1.2486142 77.       ]
78, -201.4359761597376, 1, [-1.4359761 -2.5797036 -1.5559009 78.       ]
79, -201.78546266440082, 1, [-1.7854626 -1.4359761 -2.5797036 79.       ]
80, -1.825675515808613, 0, [-1.8256755 -1.7854626 -1.4359761 80.       ]
81, -201.26818865734737, 1, [-1.2681887 -1.8256755 -1.7854626 81.       ]
82, -201.70108445173827, 1, [-1.7010845 -1.2681887 -1.8256755 82.       ]
83, -201.34803600735353, 1, [-1.348036  -1.7010845 -1.2681887 83.       ]
84, -0.567011231762873, 0, [-0.56701124 -1.348036   -1.7010845  84.        ]
85, -200.11753782770538, 1, [-0.11753783 -0.56701124 -1.348036   85.        ]
86, -0.37254903258228966, 0, [ 0.37254903 -0.11753783 -0.56701124 86.        ]
87, -200.86590342574564, 1, [ 0.86590344  0.37254903 -0.11753783 87.        ]
88, -200.88674785497682, 1, [ 0.88674784  0.86590344  0.37254903 88.        ]
89, -200.91641595089604, 1, [ 0.9164159   0.88674784  0.86590344 89.        ]
90, -0.8767946543894543, 0, [ 0.87679464  0.9164159   0.88674784 90.        ]
91, -201.04607096525382, 1, [ 1.0460709   0.87679464  0.9164159  91.        ]
