time, reward, action, observation
1, -0.4014184679914383, 0, [-0.40141848  0.          0.          1.        ]
2, -0.601128288845088, 0, [-0.6011283  -0.40141848  0.          2.        ]
3, -1.5890688590491242, 0, [-1.5890689  -0.6011283  -0.40141848  3.        ]
4, -2.0513688764340205, 0, [-2.051369  -1.5890689 -0.6011283  4.       ]
5, -201.2253913476401, 1, [-1.2253914 -2.051369  -1.5890689  5.       ]
6, -201.12347782891462, 1, [-1.1234778 -1.2253914 -2.051369   6.       ]
7, -200.71217234051505, 1, [-0.7121723 -1.1234778 -1.2253914  7.       ]
8, -200.40694960334662, 1, [-0.4069496 -0.7121723 -1.1234778  8.       ]
9, -200.49017805659366, 1, [-0.49017805 -0.4069496  -0.7121723   9.        ]
10, -0.9879632519490926, 0, [-0.98796326 -0.49017805 -0.4069496  10.        ]
11, -201.92581097662247, 1, [-1.9258109  -0.98796326 -0.49017805 11.        ]
12, -201.06252511430478, 1, [-1.0625252  -1.9258109  -0.98796326 12.        ]
13, -0.3957125430467954, 0, [-0.39571255 -1.0625252  -1.9258109  13.        ]
14, -201.03545518061668, 1, [ 1.0354552  -0.39571255 -1.0625252  14.        ]
15, -201.51187831209148, 1, [ 1.5118784   1.0354552  -0.39571255 15.        ]
16, -2.031907080759009, 0, [ 2.031907   1.5118784  1.0354552 16.       ]
17, -2.119214566439978, 0, [ 2.1192145  2.031907   1.5118784 17.       ]
18, -202.49034403573444, 1, [ 2.490344   2.1192145  2.031907  18.       ]
19, -2.53410305393062, 0, [ 2.5341032  2.490344   2.1192145 19.       ]
20, -3.3540848346113616, 0, [ 3.3540847  2.5341032  2.490344  20.       ]
21, -202.7494477055375, 1, [ 2.7494478  3.3540847  2.5341032 21.       ]
22, -202.30577109679027, 1, [ 2.305771   2.7494478  3.3540847 22.       ]
23, -201.10452426241767, 1, [ 1.1045243  2.305771   2.7494478 23.       ]
24, -201.9072170777856, 1, [ 1.907217   1.1045243  2.305771  24.       ]
25, -2.5023584154131253, 0, [ 2.5023584  1.907217   1.1045243 25.       ]
26, -202.00464688843806, 1, [ 2.0046468  2.5023584  1.907217  26.       ]
27, -202.00969335894567, 1, [ 2.0096934  2.0046468  2.5023584 27.       ]
28, -1.5680446172725038, 0, [ 1.5680447  2.0096934  2.0046468 28.       ]
29, -201.6302973177179, 1, [ 1.6302973  1.5680447  2.0096934 29.       ]
30, -1.094479275659181, 0, [ 1.0944793  1.6302973  1.5680447 30.       ]
31, -201.10625259057198, 1, [ 1.1062526  1.0944793  1.6302973 31.       ]
32, -0.5936081228943054, 0, [ 0.59360814  1.1062526   1.0944793  32.        ]
33, -200.50192634605645, 1, [-0.50192636  0.59360814  1.1062526  33.        ]
34, -1.6752377133838494, 0, [-1.6752377  -0.50192636  0.59360814 34.        ]
35, -202.32688670576437, 1, [-2.3268867  -1.6752377  -0.50192636 35.        ]
36, -201.78220955651264, 1, [-1.7822095 -2.3268867 -1.6752377 36.       ]
37, -201.39907212509067, 1, [-1.3990722 -1.7822095 -2.3268867 37.       ]
38, -0.8378389318686174, 0, [-0.83783895 -1.3990722  -1.7822095  38.        ]
39, -0.3432009645768618, 0, [-0.34320095 -0.83783895 -1.3990722  39.        ]
40, -200.38607625009317, 1, [-0.38607624 -0.34320095 -0.83783895 40.        ]
41, -200.3170994260443, 1, [-0.31709942 -0.38607624 -0.34320095 41.        ]
42, -200.27091731406733, 1, [ 0.27091733 -0.31709942 -0.38607624 42.        ]
43, -200.23008780343267, 1, [ 0.2300878   0.27091733 -0.31709942 43.        ]
44, -200.19428256983255, 1, [-0.19428258  0.2300878   0.27091733 44.        ]
45, -1.018729682965672, 0, [-1.0187297  -0.19428258  0.2300878  45.        ]
46, -201.09850754177222, 1, [-1.0985075  -1.0187297  -0.19428258 46.        ]
47, -201.3103804404815, 1, [-1.3103805 -1.0985075 -1.0187297 47.       ]
48, -200.19430309613887, 1, [-0.1943031 -1.3103805 -1.0985075 48.       ]
49, -200.57392443955055, 1, [-0.5739244 -0.1943031 -1.3103805 49.       ]
50, -201.08363573586854, 1, [-1.0836357 -0.5739244 -0.1943031 50.       ]
51, -201.14475398177964, 1, [-1.1447539 -1.0836357 -0.5739244 51.       ]
52, -0.8686417055350133, 0, [-0.86864173 -1.1447539  -1.0836357  52.        ]
53, -200.8195301006371, 1, [-0.8195301  -0.86864173 -1.1447539  53.        ]
54, -1.2591948792077967, 0, [-1.2591949  -0.8195301  -0.86864173 54.        ]
55, -201.53152025710423, 1, [-1.5315202 -1.2591949 -0.8195301 55.       ]
56, -201.50544508289573, 1, [-1.5054451 -1.5315202 -1.2591949 56.       ]
57, -200.7737204811761, 1, [-0.7737205 -1.5054451 -1.5315202 57.       ]
58, -201.02184024741098, 1, [-1.0218402 -0.7737205 -1.5054451 58.       ]
59, -200.94370883982654, 1, [-0.94370884 -1.0218402  -0.7737205  59.        ]
60, -201.0867413713486, 1, [-1.0867413  -0.94370884 -1.0218402  60.        ]
61, -1.0388573833571126, 0, [-1.0388573  -1.0867413  -0.94370884 61.        ]
62, -200.6664108675174, 1, [-0.66641086 -1.0388573  -1.0867413  62.        ]
63, -201.23281645541255, 1, [-1.2328165  -0.66641086 -1.0388573  63.        ]
64, -200.06724044830156, 1, [ 0.06724045 -1.2328165  -0.66641086 64.        ]
65, -1.2020876701649439, 0, [ 1.2020876   0.06724045 -1.2328165  65.        ]
66, -200.93666311412704, 1, [ 0.9366631   1.2020876   0.06724045 66.        ]
67, -200.29733384361342, 1, [ 0.29733384  0.9366631   1.2020876  67.        ]
68, -0.3438846945987127, 0, [-0.3438847   0.29733384  0.9366631  68.        ]
69, -0.8409511603392402, 0, [-0.84095114 -0.3438847   0.29733384 69.        ]
70, -0.9410251338058133, 0, [-0.94102514 -0.84095114 -0.3438847  70.        ]
71, -1.0182737752303541, 0, [-1.0182738  -0.94102514 -0.84095114 71.        ]
72, -200.6257352964057, 1, [-0.6257353  -1.0182738  -0.94102514 72.        ]
73, -1.1166801160220494, 0, [-1.1166801 -0.6257353 -1.0182738 73.       ]
74, -1.885628013333521, 0, [-1.885628  -1.1166801 -0.6257353 74.       ]
75, -202.2102380119026, 1, [-2.210238  -1.885628  -1.1166801 75.       ]
76, -201.82624413084, 1, [-1.8262441 -2.210238  -1.885628  76.       ]
77, -1.2900494896429433, 0, [-1.2900494 -1.8262441 -2.210238  77.       ]
78, -1.5941369147448627, 0, [-1.594137  -1.2900494 -1.8262441 78.       ]
79, -201.47169332709626, 1, [-1.4716933 -1.594137  -1.2900494 79.       ]
80, -1.0110080947217033, 0, [-1.0110081 -1.4716933 -1.594137  80.       ]
81, -200.3179981722303, 1, [-0.31799817 -1.0110081  -1.4716933  81.        ]
82, -200.71393260082033, 1, [-0.7139326  -0.31799817 -1.0110081  82.        ]
83, -0.7492186668978796, 0, [-0.74921864 -0.7139326  -0.31799817 83.        ]
84, -200.46579983476397, 1, [-0.46579984 -0.74921864 -0.7139326  84.        ]
85, -200.56388751770683, 1, [-0.56388754 -0.46579984 -0.74921864 85.        ]
86, -200.49215246289393, 1, [ 0.49215245 -0.56388754 -0.46579984 86.        ]
87, -200.02301533466505, 1, [ 2.3015335e-02  4.9215245e-01 -5.6388754e-01  8.7000000e+01]
88, -200.19441591066027, 1, [-1.9441591e-01  2.3015335e-02  4.9215245e-01  8.8000000e+01]
